"";"X.rts_a";"X.rts_i"
"user_utilisateurice";17,94;15,78
"venir";0,98;0,92
"on";9,62;9,25
"organiser";0,05;0,1
"ça";7,75;6,18
"emji_visage_avec_un_sourire_malin";0,12;0,09
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";2,85;0,35
"emji_visage_riant_aux_larmes";12,93;4,68
"avec";4,51;4
"ou";2,69;3,54
"sans";1,35;1,73
"drogue";0,04;0,12
"à";13,69;14,23
"voir";3,23;2,96
"la";21,23;23,1
"tête";0,52;0,21
"de";30,72;35,15
"certains";0,46;0,51
"je";11,12;7,45
"me";2,71;1,28
"poser";0,32;0,25
"question";0,69;0,75
"quand";2,47;2,29
"avoir";25,97;20,68
"lancer";0,06;0,1
"ce";7,33;7,47
"truc";0,31;0,21
"jamais";1,29;1,06
"penser";1,39;1,24
"qu";6,12;6,34
"en";12,97;13,48
"parler";1,89;2,04
"40";0,18;0,09
"an";1,82;1,03
"plus";5,7;6,56
"tard";0,25;0,12
"aller";2,74;3,99
"danser";0,08;0,01
"24h";0,01;0,02
"non";1,98;2,52
"stop";0,05;0,07
"emji_visage_grimaçant";0,13;0,04
"moi";2,59;1,05
"dire";4,71;3,36
"le";17,92;18,82
"nouveau";0,2;0,39
"marathon";0,02;0,01
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";0,4;0,05
"emji_visage_qui_tire_la_langue_et_fait_un_clin_d_oeil";0,14;0,06
"l";13,17;13,18
"alcool";0,06;0,07
"c";16,4;13,3
"être";40,87;37,89
"nourriture";0,11;0,08
"et";20,22;21,87
"eau";0,31;0,25
"elles";0,75;0,58
"même";3,38;3,02
"couleur";0,15;0,07
"tout";4,42;3,98
"cas";0,49;0,79
"ces";2,04;2,27
"archive";0,48;0
"absolument";0,21;0,26
"magnifique";0,82;0,18
"tu";3,38;3,39
"reconnaître";0,22;0,24
"emji_visage_souriant_avec_une_goutte_de_sueur";1,22;0,43
"du";5,7;6,2
"talent";0,05;0,04
"m";1,33;0,76
"ne";12,01;14,36
"pas";14,93;16,78
"changer";1,07;0,58
"presque";0,23;0,16
"emji_visage_faisant_un_clin_d_oeil";0,99;0,39
"y";4,42;4,25
"idée";0,31;0,46
"quelle";1,21;0,56
"super";0,45;0,26
"se";3,44;4,01
"sentir";0,63;0,66
"nostalgique";0,06;0,01
"coup";0,53;0,51
"ils";4,22;4,94
"fin";0,45;0,35
"un";10,83;11,52
"mieux";0,98;0,85
"avant";1,29;0,88
"aujourd_hui";2,18;0,36
"les";19,95;22,64
"enfant";1,79;1,38
"faire";7,81;8,54
"des";11,3;14,87
"sur";3,2;4,32
"tiktok";0,05;0,02
"époque";2,8;0,18
"style";0,11;0,06
"grâce";0,18;0,16
"contrairement";0,06;0,1
