"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
"emji_visage_riant_aux_larmes";1;0;1;1;1;1;1;1;1
"aller";1;1;1;0,003;1;0;1;0;0,173
"suisse";1;1;1;0,713;0;1;1;0;1
"voir";1;1;1;0,011;1;0;0;1;1
"parler";1;1;0;1;0;0;0;1;1
"pays";1;1;0;1;0;0,642;1;0;1
"gens";1;1;1;0;0,023;0;0,123;0,004;1
"monde";1;1;1;1;1;0;1;0;1
"emji_applaudissements";0;1;1;1;0,431;1;1;1;1
"prendre";1;1;1;1;1;0,239;0,005;0;0
"enfant";1;1;0;1;1;0;1;0;1
"mettre";1;1;1;0,896;1;0;1;0,003;0
"payer";1;1;1;1;1;1;1;0;1
"emji_visage_qui_pleure";0;1;1;1;1;1;1;1;1
"femme";1;1;1;1;1;0;1;1;1
"comprendre";1;1;1;1;0,074;0;0;1;1
"penser";1;1;1;1;1;0;0,001;1;1
"passer";1;1;1;0,646;1;0;0,897;0,08;0,056
"problème";1;1;1;1;1;0;0,002;0;0,122
"chose";1;1;1;1;1;0;0,309;1;1
"temps";1;1;1;1;1;0;1;0,037;0,749
"emji_se_rouler_par_terre_de_rire";1;0;1;1;1;1;1;1;1
"vraiment";1;1;1;1;1;0;1;1;0,808
"droit";1;1;0,001;0;1;0,736;0,003;1;1
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";0;1;1;1;1;1;1;1;1
"rester";1;1;1;1;0,467;0;1;0;0,089
"arrêter";1;1;0;0,028;1;0,036;1;0,141;0,132
"vie";1;1;1;1;1;0;1;0;1
"police";1;1;1;0;1;1;1;1;1
"grand";1;1;1;1;1;0,197;1;0;0
"vrai";1;1;1;1;1;0,138;0;1;0,185
"donner";1;1;1;1;0,753;0;0;0,731;1
"emji_coeur_rouge";0;1;1;1;1;1;1;1;1
"venir";1;1;1;0,006;0,468;0;1;0,01;0,193
"travail";1;1;1;0;1;0,001;1;0;1
"homme";1;1;1;1;1;0;1;1;1
"jour";1;1;1;1;1;0,016;1;0,289;0
"trouver";1;1;1;1;1;0;0,809;0;1
"état";1;1;0;1;1;1;1;0;1
"vivre";1;1;1;1;0,117;0;1;0;1
"fois";1;1;1;1;0,209;0;0,03;0,34;0,021
"commentaire";1;1;1;1;0,256;1;0;1;1
"demander";1;1;1;0;0,345;0;0,251;0,546;1
"emji_mains_levées";0;1;1;1;0,568;1;1;1;1
"seul";1;1;0,381;0,558;1;0;0,355;0,268;0,58
"cas";1;1;1;0,003;1;0;0,605;0,229;1
"année";1;1;1;1;1;1;1;0;0
"palestinien";1;1;0;1;1;1;1;1;1
"israël";1;1;0;1;1;1;1;1;1
"riche";1;1;1;1;1;1;1;0;1
"question";1;1;1;1;1;1;0;1;1
"petit";1;1;1;1;1;0,014;1;0;0
"france";1;1;1;1;1;1;1;0;0,008
"guerre";1;1;0;1;1;1;1;1;1
"argent";1;1;1;1;1;1;1;0;1
"emji_feu";0;1;1;1;1;1;1;1;1
"politique";1;1;1;1;1;1;0;1;1
"accord";1;1;0;1;0,327;1;0,004;0,033;1
"laisser";1;1;1;0,131;1;0;1;1;0,831
"partir";1;1;1;0,739;1;1;0;0;1
"sentir";1;1;1;1;1;0;0;1;1
"devenir";1;1;1;1;0,898;0,002;1;0;0,026
"besoin";1;1;1;0,031;0,846;0,004;1;0;1
"place";1;1;1;0,502;0,856;0;1;0,047;0
"palestine";0;1;0;0,046;1;1;1;1;1
"hamas";1;1;0;1;1;1;1;1;1
"travailler";1;1;1;1;0,351;1;1;0;1
"français";1;1;1;1;0;1;0,506;0;1
"connaître";1;1;1;1;0,008;0,018;0;1;1
"peuple";1;1;0;1;1;1;0,011;1;1
"continuer";1;1;0;1;1;1;1;0,059;0,066
"changer";1;1;1;1;1;0;1;0,024;0,092
"raison";1;1;1;0,77;0,204;0;1;1;0,697
"manifestation";1;1;0,287;0;1;1;1;1;1
"arriver";1;1;1;1;0,003;0;1;0;1
"etc";1;1;1;1;1;0,289;1;0;0
"humain";1;1;0,109;1;1;0;1;1;1
"plutôt";1;1;1;1;1;0,123;0;0,222;0,823
"rendre";1;1;0;1;1;0;0,956;1;1
"utiliser";1;1;0,356;0,789;1;1;0;0,334;0,002
"gauche";1;1;1;1;1;1;0;1;1
"sujet";1;1;1;1;1;1;0;1;1
"moment";1;1;1;0,053;1;0;1;1;1
"cause";1;1;0,126;0;1;0,061;0,156;1;0,041
"population";1;1;0;0,13;1;1;1;0;1
"impôt";1;1;1;1;1;1;1;0;1
"exemple";1;1;1;0,821;1;0,357;0,192;0;0
"beau";1;1;1;1;0,227;0;1;1;1
"part";1;1;1;0,268;1;1;0;0;1
"paix";1;1;0;0,256;1;1;1;1;1
"aimer";1;1;1;1;1;0;1;1;1
"coup";1;1;1;0,268;1;0,112;0,001;0,273;0,267
"emji_visage_souriant_avec_une_goutte_de_sueur";1;0;1;1;1;1;1;1;1
"entreprise";1;1;1;1;1;1;1;0;1
"genre";1;1;1;1;1;0;0;1;1
"droite";1;1;1;1;1;1;0;1;1
"gaza";1;1;0;1;1;1;1;1;1
"compte";1;1;1;1;0,581;1;0;0,011;1
"tellement";1;0,982;1;1;1;0;1;1;1
"lire";1;1;1;1;0,883;1;0;1;1
"ca";1;1;1;1;1;0;1;0,867;1
"violence";1;1;1;0;1;0;0,042;1;1
"social";1;1;1;1;1;0,319;0,002;0;1
"importer";1;1;1;1;0,293;0;0,015;1;1
"emji_visage_qui_pleure_à_chaudes_larmes";0,066;0;1;1;1;1;1;1;1
"société";1;1;1;1;1;0;0,04;0;1
"manifester";1;1;0,001;0;1;1;1;1;1
"permettre";1;1;1;0,09;0;1;1;0;0
"niveau";1;1;1;1;0;0,325;0,002;0,028;0,7
"famille";1;1;0,042;0,336;1;0;1;0,054;1
"système";1;1;1;1;1;1;1;0;1
"emji_visage_avec_bouche_ouverte";0;1;0,918;1;1;1;1;1;0,69
"article";1;1;1;0,058;1;1;0;1;1
"rts";1;1;0,128;1;1;1;0;1;1
"salaire";1;1;1;1;1;1;1;0;1
"idée";1;1;1;1;1;1;0;0,456;1
"exister";1;1;0,043;1;1;1;0;1;0,09
"aider";1;1;1;0,79;1;0;1;0;1
"sûr";1;1;1;1;1;0,016;0;1;1
"loi";1;1;1;0;0,212;0,057;0;1;1
"armée";1;1;0;1;1;0;1;1;1
"public";1;1;1;0;1;1;0,005;0;1
"moyen";1;1;0,461;0,965;0,708;1;1;0;0,54
"commencer";1;1;0,018;0,111;1;0;0,414;1;1
"tuer";1;1;0;1;1;1;1;1;1
"regarder";1;1;1;0,9;1;0,021;0;1;1
"cher";1;1;1;1;1;1;1;0;0
"partie";1;1;1;0,55;1;1;0;0;1
"soutenir";1;1;0;0,9;1;1;0,547;1;1
"faux";1;1;1;1;1;1;0;1;1
"premier";1;1;1;1;0,373;1;0;0,502;0,063
"lieu";1;1;1;0,735;1;0,003;0,008;0,037;1
"histoire";1;1;0,001;1;1;1;0;1;1
"genève";1;1;1;1;1;1;1;0;0
"sortir";1;1;1;1;1;0;1;1;1
"trump";1;1;0;1;1;1;0,019;1;1
"génocide";1;1;0;1;1;1;1;1;1
"défendre";1;1;0;0,017;1;1;0,186;1;1
"israélien";1;1;0;1;1;1;1;1;1
"perdre";1;1;1;1;1;0;1;0;1
"prix";1;1;1;1;1;1;1;0;0
"finir";1;1;1;0,967;1;0,035;1;0,029;0
"écrire";1;1;1;0,637;0;0,86;0;1;1
"emji_mains_en_prière";0;1;1;1;1;1;1;1;1
"attendre";1;1;0,57;1;0,891;0,637;0;1;1
"emji_visage_faisant_un_clin_d_oeil";1;1;1;1;0,081;0;1;1;0,468
"servir";1;1;1;0,004;1;0;1;0,003;1
"mort";1;1;0;1;1;1;1;1;1
"gouvernement";1;1;0;1;1;1;1;1;1
"otage";1;1;0;1;1;1;1;1;1
"montrer";1;1;1;0,278;1;0,064;0;1;1
"emji_visage_en_pleine_réflexion";1;1;1;1;1;1;0;0,923;1
"emji_drapeau_suisse";0;1;1;0,746;0,067;1;1;1;1
"jeune";1;1;1;1;1;0;1;1;1
"nouveau";1;1;1;1;1;0;0,973;0,004;0,284
"gros";1;1;1;1;1;0,266;1;0;0
"côté";1;1;1;1;1;0;1;1;0,001
"simplement";1;1;1;1;1;1;0;0;0,99
"service";1;1;1;1;1;0;1;0;1
"meilleur";0,23;1;1;1;0,255;0,028;0,854;0,181;0,008
"revenir";1;1;1;1;1;1;1;0;1
"oublier";1;1;0,002;1;1;1;0,311;0,006;0,022
"europe";1;1;0;1;1;1;1;0,408;0,469
"espérer";1;1;1;0,01;0,224;0;1;1;1
"réalité";1;1;1;1;1;0,027;0;1;1
"assurance";1;1;1;1;1;1;1;0;1
"agir";1;1;0,041;0;1;1;0;1;1
"créer";1;1;1;1;1;1;1;0;0,35
"ville";1;1;1;0;1;1;1;1;0
"emji_visage_boudeur";0,992;0;0,563;0;1;1;1;1;1
"manquer";1;1;1;1;1;0;1;0,204;1
"pauvre";1;1;1;1;1;1;1;0;1
"animal";1;1;1;1;1;0;1;1;0
"justice";1;1;0;0,463;1;0,405;0,077;1;1
"fin";1;1;0,012;1;1;0,542;0;0,089;1
"respecter";1;1;0;0;0,639;1;1;1;0,073
"santé";1;1;1;1;1;1;1;0;0,002
"situation";1;1;1;0,189;1;0;0;1;1
"protéger";1;1;1;0;1;0;1;1;1
"justement";1;1;1;0,869;1;0,008;0;0,251;1
"emji_visage_roulant_des_yeux";1;0;1;1;0,461;1;1;1;1
"seulement";1;1;1;0,046;0,605;1;1;0,015;0
"rapport";1;1;1;1;1;0,336;0;1;1
"frontalier";1;1;1;1;1;1;1;0;0,047
"appeler";1;1;0,001;0,067;1;1;0;1;1
"augmenter";1;1;1;1;1;1;1;0;0
"école";1;1;1;1;0;0;1;0,285;0,214
"extrême";1;1;1;1;1;1;0;1;1
"mot";1;1;0,003;1;0,006;1;0;1;1
"normal";1;1;1;0,878;0,001;1;1;0;0,034
"heure";1;1;1;0;1;1;1;0,472;0
"dernier";1;1;0,126;0,188;1;0,244;0,004;1;1
"mois";1;1;1;1;1;1;1;0;1
"essayer";1;1;1;1;1;0;0,074;1;1
"policier";1;1;1;0;1;1;1;1;1
"chercher";1;1;1;0,475;1;0,003;0,01;0,043;1
"gagner";1;1;1;1;1;1;1;0;1
"malheureusement";1;1;0,425;1;1;0;0,806;1;1
"terroriste";1;1;0;1;1;1;1;1;1
"solution";1;1;1;1;1;0,002;1;0;0,349
"liberté";1;1;1;0;1;0,892;0;1;1
"civil";1;1;0;1;1;1;1;1;1
"canton";1;1;1;1;0,156;1;1;0;0
"étranger";1;1;1;1;0;1;0;0;1
"pire";1;1;0,133;1;1;0;1;1;0
"manière";1;1;1;0,026;1;1;0;1;1
"expliquer";1;1;1;1;1;1;0;0,004;1
"argument";1;1;1;1;1;0,952;0;1;1
"emji_drapeau_territoires_palestiniens";0;1;0;1;1;1;1;1;1
"aide";1;1;0;0,724;1;0,257;1;0;1
"simple";1;1;1;0,922;0,057;0,017;0,941;0;1
"apprendre";1;1;1;1;0;0;0,194;1;1
"triste";1;1;1;1;1;0;1;1;1
"international";1;1;0;0;1;1;1;1;1
"ouvrir";1;1;1;1;1;1;0;1;1
"étude";1;1;1;1;1;1;0;0;1
"honte";1;1;0,449;0,385;1;0;1;1;1
"bas";1;1;1;1;1;1;1;0;1
"acheter";1;1;1;1;1;1;1;0;0
"possible";1;1;1;1;1;0,182;1;0;0,57
"propre";1;1;1;1;0,379;0;0;1;1
"avis";1;1;1;0,785;0,135;1;0;1;1
"façon";1;1;1;0,209;1;0;0,738;1;0,162
"voter";1;1;1;1;1;1;0;0,007;1
"terre";1;1;0;1;1;0,843;1;1;0,259
"sécurité";1;1;1;0;1;1;1;0,032;1
"interdire";1;1;1;0;0,621;0,311;1;1;0
"mauvais";1;1;1;1;1;0;1;1;0,092
"voiture";1;1;1;1;1;1;1;1;0
"super";1;0,026;1;1;0,311;1;1;0,011;0,007
"choix";1;1;1;1;1;0;1;0;1
"initiative";1;1;1;1;0,306;1;0;0;1
"égalité";1;1;1;1;1;0;1;1;1
"respect";1;1;0,739;0,075;1;0;1;1;1
"répondre";1;1;1;1;1;1;0;1;1
"foutre";1;1;1;0;1;0;1;1;1
"terme";1;1;0,264;1;1;0,319;0;1;1
"mériter";1;1;0,492;0,741;0,534;0,179;1;0;1
"équipe";0,766;1;1;1;1;0;1;0,233;1
"majorité";1;1;1;1;0,647;0,974;0,014;0;0,498
"important";1;1;1;1;1;0;1;0,95;1
"sembler";1;1;0,719;1;0,614;1;0;0,56;0,304
"victime";1;1;0;1;1;0;1;1;1
"taxe";1;1;1;1;1;1;1;0;1
"entendre";1;1;0,284;1;1;0,002;0;1;1
"risque";1;1;1;0,802;1;1;0,767;0;0
"classe";1;1;1;1;1;1;1;0;1
"également";1;1;0,33;1;0,567;1;0,409;0,013;0
"israel";1;1;0;1;1;1;1;1;1
"feu";1;1;0;0,012;1;1;1;1;0
"pareil";1;1;1;1;1;0,017;0,588;1;0
"manifestant";1;1;0;0;1;1;1;1;1
"maladie";1;1;1;1;1;1;1;0;1
"occuper";1;1;0,004;1;0,561;0,041;1;0;1
"baisser";1;1;1;1;1;1;1;0;0,652
"absolument";1;1;1;1;0,581;0,368;0;1;1
"nombre";1;1;0,426;0,005;1;1;1;0;0
"manger";1;1;1;1;1;1;1;1;0
"taxer";1;1;1;1;1;1;1;0;1
"nouvelle";1;1;1;1;1;0,265;1;1;0
"effet";1;1;1;0,693;1;0,53;0,536;1;0
"arme";1;1;0;0,153;1;1;1;1;1
"emji_visage_avec_des_symboles_dans_la_bouche";1;0;1;1;1;1;0,755;1;0,534
"crime";1;1;0;1;1;1;1;1;1
"poser";1;1;1;1;1;1;0;1;1
"exactement";1;1;1;1;0,574;0,55;0;1;1
"base";1;1;1;1;0,074;1;0;0;1
"éviter";1;1;1;1;1;1;0,005;0,003;0
"valoir";1;1;1;1;0,016;0,734;1;0;1
"retrouver";1;1;1;1;1;0;1;0,246;0,015
"suivre";1;1;1;0,17;1;1;0;0,308;1
"parent";1;1;1;1;0,91;0;1;0;1
"langue";1;1;1;1;0;1;1;1;1
"source";1;1;1;1;1;1;0;1;0,996
"info";1;0,772;1;0,985;1;1;0;1;1
"citoyen";1;1;1;0;0,939;0,123;0,001;0,687;1
"eau";1;1;1;0;1;1;1;1;0
"train";1;1;1;1;1;1;1;1;0
"suffire";1;1;1;1;0,213;1;0,001;0,016;0,236
"rue";1;1;0,03;0;1;0,378;1;1;0,205
"jouer";1;1;1;1;1;0;1;1;1
"garder";1;1;1;1;1;0,031;1;0;0,196
"représenter";1;1;0,418;1;1;1;0;0,112;0,541
"préférer";1;1;1;1;1;0,624;1;0;1
"groupe";1;1;0;0,001;1;1;0,2;1;1
"reconnaître";1;1;0;1;1;1;0,714;1;1
"face";1;1;0,274;0,02;1;0;0;1;1
"profiter";1;1;1;1;1;1;1;0;1
"couper";1;1;1;1;1;0,098;1;0;0,253
"clairement";1;1;1;0,585;1;0;0,44;1;1
"ultra";1;1;1;1;1;1;1;0;0,149
"oeil";1;1;0,044;0,645;1;1;0;1;1
"haine";1;1;0;0,204;0,874;0,119;0,013;1;1
"média";1;1;0,014;0,821;1;1;0;1;1
"courage";0;1;1;1;1;0;1;1;1
"réponse";1;1;1;1;1;1;0;1;1
"peur";1;1;1;1;1;0;1;1;1
"européen";1;1;0;0,098;0,059;1;0,935;0,405;1
"imaginer";1;1;1;1;1;0,423;0,557;0;0,089
"fortune";1;1;1;1;1;1;1;0;1
"ia";1;1;1;1;1;1;0;1;1
"logique";1;1;1;0,313;0,001;0,39;1;0,001;0,166
"journée";1;1;1;1;1;0;1;1;1
"concerner";1;1;1;1;1;0,07;0,048;0;1
"choisir";1;1;1;1;1;0;0,351;1;1
"mdr";1;0,214;1;0,081;0,403;0;1;1;1
"détruire";1;1;0;0;1;1;1;1;0,053
"vidéo";1;1;0,017;0,061;1;1;0;1;1
"peine";1;1;0,883;1;0,145;0;0,505;0,889;1
"intérêt";1;1;1;0,909;1;1;0;1;1
"information";1;1;0,15;0,693;1;0,714;0;1;1
"franchement";1;1;1;0,731;1;0;1;0,163;1
"facile";1;1;1;1;0,005;0;0,771;0,087;1
"casser";1;1;1;0;1;1;1;1;1
"semaine";1;1;1;1;0;1;1;0,001;0
"traiter";1;1;0;0,975;1;0,042;0;1;1
"long";1;1;1;1;0,776;0;1;0,047;1
"économique";1;1;1;1;1;1;0,986;0;0,04
"économie";1;1;1;1;1;1;1;0;0,039
"chiffre";1;1;1;1;1;1;0,001;0;1
"accepter";1;1;0,883;0,936;1;0;1;0,001;1
"uniquement";1;1;1;1;1;0,177;0,003;0,992;0,049
"toucher";1;1;1;1;1;1;1;0;0,004
"fédéral";1;1;1;0;1;1;0;0;1
"financer";1;1;0;1;1;1;1;0;1
"démocratie";1;1;0;0;1;1;0;1;1
"moyenne";1;1;1;1;1;1;1;0;0,142
"haut";1;1;1;1;0,776;0,168;1;0;0,061
"faute";1;1;1;0;0,359;1;0;0,701;1
"rappeler";1;1;1;0;1;0,774;0;1;1
"humanité";1;1;0;1;1;0,001;0,772;1;1
"soutien";0,101;1;0;0;1;1;1;1;1
"maison";1;1;0,683;1;1;0,027;1;0,038;0
"dur";1;1;1;1;0,335;0,173;1;0;0,641
"udc";1;1;1;1;0;1;0;1;1
"chance";1;1;1;1;1;0,062;1;0;0,238
"unir";0,814;1;0;1;1;1;1;0,001;1
"tête";1;1;1;1;1;0;0,657;1;1
"route";1;1;1;0,565;1;1;1;1;0
"marcher";1;1;1;0,052;1;0;1;1;1
"lausanne";1;1;1;0,185;1;1;1;1;0
"emji_visage_souriant_avec_coeurs";0;1;1;1;1;1;1;1;1
"contraire";1;1;1;0,052;0,761;0,276;0;1;1
"voler";1;1;0;1;1;0,547;1;0,976;0,65
