"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
"emji_visage_riant_aux_larmes";1,12;-167,323;-84,493;0,1;23,842;35,369;-5,614;-102,79;465,398
"aller";-1,555;-1,882;110,866;-2,257;-6,424;0,428;891,138;-103,63;-741,977
"voir";-4,27;-28,863;-21,999;-4,552;-1,323;33,404;594,326;17,522;-375,512
"suisse";-24,592;-1,724;1864,628;-52,488;-11,041;1,336;-117,545;-67,003;-462,064
"parler";-10,683;12,716;-18,914;-15,969;0,302;408,455;0,99;48,924;-296,526
"emji_coeur_rouge";-22,496;-153,975;-474,099;-33,138;-19,583;-210,547;-319,646;-216,899;5204,424
"gens";0,018;-14,43;-0,358;-2,447;-0,3;-4,778;695,646;3,329;-378,767
"monde";-8,192;-0,344;17,206;-9,903;-8,954;-43,206;581,273;0,153;-321,492
"femme";-5,589;-75,467;-304,361;-17,16;-8,563;-134,598;-12,991;4366,663;-157,213
"enfant";-16,418;8,838;-103,918;-23,927;-8,074;-116,14;1335,908;-10,915;-112,223
"emji_applaudissements";-3,335;-48,18;-182,997;-25,833;-7,793;-72,852;-151,584;-94,191;2088,142
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";-19,185;-159,31;-399,698;-38,182;-18,851;-177,176;-287,206;-211,373;4721,695
"prendre";61,526;-11,672;117,472;10,186;0,196;0,945;13,997;10,088;-327,754
"beau";-18,866;-136,632;-232,39;-28,239;-12,819;-119,203;-138,778;-53,245;2603,863
"époque";-9,587;-116,738;-136,6;-16,772;3,759;-45,509;0,348;-31,749;863,147
"pays";-6,242;365,826;247,56;-18,725;-8,928;-13,098;-5,012;-2,607;-380,579
"penser";-4,917;-41,466;-27,62;-2,48;-2,408;-3,492;548,976;53,499;-196,183
"vie";-4,563;-80,145;-2,715;-14,306;-17,334;-117,412;725,612;-0,806;-21,248
"homme";-11,654;-56,045;-308,21;-3,424;-14,153;-108,563;-71,493;4154,01;-79,233
"comprendre";-2,885;-25,181;-55,896;-5,582;-2,827;32,659;33,815;471,238;-181,597
"emji_se_rouler_par_terre_de_rire";7,004;-28,517;-10,749;1,143;7,159;15,227;-0,774;-22,297;42,91
"temps";-6,728;-50,821;-5,361;-3,172;-9,696;-6,504;623,475;-11,089;-74,315
"aimer";-0,067;-68,071;-153,169;-2,652;-2,765;-28,895;-2,402;-9,273;701,754
"chose";-4,512;-21,583;-49,761;-1,978;-3,724;-16,527;1022,595;8,092;-257,958
"passer";-0,02;-0,563;11,946;-14,374;-6,812;-1,607;336,556;-21,174;-162,157
"mettre";-0,449;-1,775;135,603;-0,005;1,014;0,943;17,02;8,128;-292,297
"année";-5,666;-51,065;123,616;-0,6;-6,045;-5,968;0,251;-19,197;0,053
