"";"X.rts_a";"X.rts_i"
"avec";3,66;4,31
"ou";3,21;3,91
"sans";1,74;1,84
"drogue";0,06;0,09
"à";13,24;14,75
"voir";4,53;4,5
"la";22,25;23,47
"tête";0,74;0,21
"de";33,46;37,36
"certains";0,67;0,64
"je";12,69;11,07
"me";2,84;1,85
"poser";0,99;0,68
"question";2,36;1,84
"quand";2,45;2,46
"on";9,46;9,9
"avoir";26,88;21,38
"lancer";0,06;0,16
"ce";9,7;9,7
"truc";0,32;0,21
"jamais";1,5;1,09
"penser";2,45;2,11
"qu";7,45;6,94
"en";12,54;12,38
"parler";4,2;3,54
"40";0,14;0,07
"an";1,32;0,76
"plus";5,76;5,71
"tard";0,15;0,12
"elles";0,99;0,75
"même";4;3,56
"couleur";0,34;0,15
"tout";4,9;4,22
"cas";0,89;1,18
"les";19,05;19,96
"petit";0,66;0,56
"être";45,84;43,65
"juste";1,82;2,03
"des";12,34;14,18
"enfant";1,07;0,63
"pouvoir";3,92;4,46
"peut_être";0,48;0,53
"remettre";0,49;0,44
"le";19,15;18,44
"système";0,1;0,31
"plutôt";0,6;0,83
"que";15,97;17,33
"juger";0,32;0,25
"coup";0,46;0,52
"terme";0,54;0,57
"sexiste";0,08;0,06
"deuxième";0,08;0,07
"slide";0,02;0,05
"rts";0,62;1,08
"qui";10,83;11,01
"dire";6,25;4,54
"aller";3;3,92
"bleu";0,03;0,05
"emji_homme_avec_la_paume_sur_le_visage";0,04;0,03
"c";17,37;15,88
"bien";5,33;4,14
"merci";1,91;1,26
"pr";0,06;0,08
"réponse";1,11;0,7
"et";21,14;21,38
"cet";0,56;0,38
"échange";0,1;0,1
"très";2,18;1,65
"constructif";0,05;0,1
"un";11,85;12,17
"plaisir";0,16;0,13
"vous";8,7;11,24
"aussi";2,38;1,95
"prendre";1,18;1,39
"pas";19,9;19,98
"mal";0,89;0,77
"une";9,03;9,78
"analyse";0,16;0,19
"correct";0,1;0,14
"peu";1,35;1,33
"moins";0,91;0,94
"maintenant";0,92;0,39
"comme";4,32;3,6
"ça";8,31;7,02
"elle";4,04;1,88
"aimer";1,28;0,56
"j";5,93;3,83
"adorer";0,4;0,06
"genre";0,8;1,31
"bravo";0,52;0,36
"par";2,9;3,41
"contre";0,48;1,02
"il";10,49;8,88
"y";4,56;4,3
"faute";0,76;0,5
"dans";5,72;6,3
"traduction";0,06;0,02
"super";0,24;0,2
"ego";0,1;0,1
"se";3,63;4,48
"au";3,33;3,83
"sur";4,57;5,42
"moi";1,79;1,24
"emji_visage_faisant_un_clin_d_oeil";1,08;0,5
"correction";0,05;0,02
"faire";8,09;9,17
"croire";1,1;0,98
"religieux";0,1;0,05
"historien";0,03;0,03
"ne";17,64;17,34
"s";3,22;3,17
"représenter";0,06;0,18
"l";13,67;13,57
"histoire";0,7;0,83
"emji_visage_riant_aux_larmes";3,58;2,42
"ptn";0,05;0,04
"gêner";0,14;0,11
"t";2,43;2,08
"fier";0,17;0,1
"clairement";0,31;0,46
"apprendre";0,42;0,4
"relire";0,16;0,25
"avant";1,36;1,22
"publier";0,11;0,2
"enfin";0,33;0,27
"d";11,1;12,25
"autres";1,26;1,43
"explication";0,13;0,15
"ils";3,61;4,19
"pour";9,01;10,51
"oui";2,25;2,14
"déjà";1,14;1,17
"ces";1,92;2,19
"français";2,19;0,89
"vocabulaire";0,37;0,04
"choisir";0,36;0,37
"phrase";0,48;0,3
"complexe";0,14;0,15
"voyage";0,03;0,06
"compte";0,76;0,88
"recommander";0,03;0,05
"chacun";0,42;0,23
"cela";1,46;1,37
"donner";0,98;1,29
"goût";0,09;0,08
"du";5,65;5,72
"hasard";0,14;0,11
"découverte";0,05;0,05
"intéressant";0,56;0,29
"entendre";0,88;0,47
"son";2,18;1,57
"regard";0,09;0,07
"homme";4,68;2,49
"aujourd_hui";2,15;0,31
"sa";1,66;0,99
"jeunesse";0,09;0,01
"ses";0,99;1,06
"réflexion";0,35;0,23
"alors";1,66;2,03
"gros";0,33;0,35
"problème";0,83;1,52
"besoin";0,52;0,67
"montrer";0,44;0,78
"reconnaître";0,15;0,14
"suffire";0,21;0,36
"taper";0,12;0,1
"nom";1,17;0,24
"facebook";0,03;0,03
"savoir";2,77;2,34
"devenir";0,72;0,56
"etait";0,14;0,05
"ancien";0,28;0,04
"lol";0,34;0,15
"mon";1,57;1,74
"véritable";0,07;0,04
"intelligence";0,45;0,19
"gars";0,17;0,18
"écrire";1,07;1,23
"devoir";1,65;2,19
"là";1,26;1,34
"parce_que";0,92;1,03
"vraiment";1,19;1,32
"triste";0,18;0,2
"ok";0,35;0,29
"ca";0,52;0,54
"mais";7,92;7,85
"ya";0,1;0,08
"tous";1,36;1,54
"monde";1,5;1,58
"commentaire";2,48;2,55
"car";1,3;1,03
"remarquer";0,36;0,19
"plusieurs";0,31;0,28
"vidéo";1,02;0,44
"essayer";0,5;0,56
"effort";0,15;0,18
"hyper";0,09;0,11
"sensible";0,11;0,03
"différence";0,4;0,33
"drôle";0,16;0,11
"pensée";0,25;0,13
"culturel";0,06;0,1
"si";4,7;4,99
"qqn";0,06;0,1
"vouloir";1,94;2,39
"faux";0,84;1,05
"passer";0,73;1,02
"important";0,29;0,36
"préciser";0,1;0,1
"personne";2,31;2,69
"aux";1,28;1,51
"cheveu";0,1;0,05
"presque";0,18;0,13
"oublier";0,25;0,31
"chouette";0,07;0,01
"sujet";0,93;1,51
"mr";0,06;0,04
"georges";0,38;0,01
"tu";5,87;5,06
"mettre";0,97;1,44
"post";0,1;0,41
"projet";0,03;0,05
"non";2,65;2,62
"conclusion";0,1;0,11
"chef";0,13;0,1
"oeuvre";0,07;0,06
"seulement";0,34;0,31
"emji_visage_qui_pleure";0,81;0,55
"toute";0,57;0,58
"façon";0,49;0,41
"suisse";1,26;1,88
"exister";1,37;0,7
"politiquement";0,03;0,1
"diviser";0,09;0,07
"habiter";0,1;0,08
"peuple";0,1;0,34
"différents";0,12;0,11
"accorder";0,02;0,07
"te";1,51;1,28
"coucher";0,07;0,04
"pays";0,48;1,31
"fonctionner";0,11;0,17
"mieux";1,04;0,88
"3";0,32;0,37
"langue";0,64;0,66
"sérieux";0,33;0,38
"beaucoup";1,26;1,07
"votre";1,57;2,55
"page";0,12;0,2
"svp";0,36;0,29
"après";0,85;0,85
"médiocrité";0,01;0,05
"cher";0,2;0,11
"inclure";0,03;0,05
"vos";0,63;0,96
"posts";0,03;0,03
"lien";0,17;0,19
"trouver";1,65;1,28
"version";0,05;0,02
"long";0,28;0,32
"celle_ci";0,04;0,04
"oeil";0,23;0,21
"emji_drapeau_suisse";0,14;0,14
"moment";0,39;0,42
"archive";0,63;0
"rester";0,77;1,02
"ma";0,83;0,71
"manquer";0,43;0,44
"culte";0,09;0,02
"radio";0,11;0,01
"romand";0,04;0,03
"regarder";0,92;0,69
"emji_visage_avec_bouche_ouverte";0,48;0,2
