"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"emji_visage_riant_aux_larmes";1;0;1;1;1
"aller";1;1;1;0;0
"suisse";1;1;1;0;1
"voir";1;1;1;1;0
"parler";1;1;0;1;0
"pays";1;1;0;0;1
"gens";1;1;1;0,202;0
"monde";1;1;1;0,019;0
"emji_applaudissements";0;1;1;1;1
"prendre";1;1;1;0;0,013
"enfant";1;1;0;0,003;0,769
"mettre";1;1;1;0;0
"payer";1;1;1;0;1
"emji_visage_qui_pleure";0;1;1;1;1
"femme";1;1;1;1;0
"comprendre";1;1;1;1;0
"penser";1;1;1;1;0
"passer";1;1;1;0,006;0
"problème";1;1;1;0;0
"chose";1;1;1;1;0
"temps";1;1;1;0,044;0
"emji_se_rouler_par_terre_de_rire";1;0;1;1;1
"vraiment";1;1;1;1;0
"droit";1;1;0,001;1;0
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";0;1;1;1;1
"rester";1;1;1;0;0,038
"arrêter";1;1;0;0,029;0,843
"vie";1;1;1;0;0,012
"police";1;1;1;1;0
"grand";1;1;1;0;1
"vrai";1;1;1;1;0
"donner";1;1;1;1;0
"emji_coeur_rouge";0;1;1;1;1
"venir";1;1;1;0,006;0
"travail";1;1;1;0;1
"homme";1;1;1;1;0
"jour";1;1;1;0;1
"trouver";1;1;1;0;0
"état";1;1;0;0;1
"vivre";1;1;1;0;0
"fois";1;1;1;0,009;0
"commentaire";1;1;1;1;0
"demander";1;1;1;1;0
"emji_mains_levées";0;1;1;1;1
"seul";1;1;0,351;0,094;0
"cas";1;1;1;0,488;0
"année";1;1;1;0;1
"palestinien";1;1;0;1;1
"israël";1;1;0;1;1
"riche";1;1;1;0;1
"question";1;1;1;1;0
"petit";1;1;1;0;0,242
"france";1;1;1;0;1
"guerre";1;1;0;1;1
"argent";1;1;1;0;1
"emji_feu";0;1;1;1;1
"politique";1;1;1;1;0
"accord";1;1;0;0,268;1
"laisser";1;1;1;0,883;0
"partir";1;1;1;0;0,335
"sentir";1;1;1;1;0
"devenir";1;1;1;0;0,173
"besoin";1;1;1;0;0,026
"place";1;1;1;0;0,001
"palestine";0;1;0;1;1
"hamas";1;1;0;1;1
"travailler";1;1;1;0;1
"français";1;1;1;0;0,115
"connaître";1;1;1;1;0
"peuple";1;1;0;1;1
"continuer";1;1;0;0,01;1
"changer";1;1;1;0,002;0
"raison";1;1;1;1;0
"manifestation";1;1;0,255;1;0
"arriver";1;1;1;0;0,016
"etc";1;1;1;0;1
"humain";1;1;0,101;1;0
"plutôt";1;1;1;0,217;0
"rendre";1;1;0;1;0
"utiliser";1;1;0,329;0,005;0,029
"gauche";1;1;1;1;0
"sujet";1;1;1;1;0
"moment";1;1;1;1;0
"cause";1;1;0,113;1;0
"population";1;1;0;0;1
"impôt";1;1;1;0;1
"exemple";1;1;1;0;0,043
"beau";1;1;1;1;0
"part";1;1;1;0,008;0,001
"paix";1;1;0;1;1
"aimer";1;1;1;1;0
"coup";1;1;1;0,2;0
"emji_visage_souriant_avec_une_goutte_de_sueur";1;0;1;1;1
"entreprise";1;1;1;0;1
"genre";1;1;1;1;0
"droite";1;1;1;1;0
"gaza";1;1;0;1;1
"compte";1;1;1;0,82;0
"tellement";1;0,95;1;1;0
"lire";1;1;1;1;0
"ca";1;1;1;1;0
"violence";1;1;1;1;0
"social";1;1;1;0;0,091
"importer";1;1;1;1;0
"emji_visage_qui_pleure_à_chaudes_larmes";0,061;0;1;1;1
"société";1;1;1;0,142;0
"manifester";1;1;0;1;0
"permettre";1;1;1;0;0,124
"niveau";1;1;1;0,022;0
"famille";1;1;0,035;1;0,006
"système";1;1;1;0;1
"emji_visage_avec_bouche_ouverte";0;1;0,894;1;1
"article";1;1;1;1;0
"rts";1;1;0,126;1;0
"salaire";1;1;1;0;1
"idée";1;1;1;1;0
"exister";1;1;0,043;1;0
"aider";1;1;1;0,001;0,001
"sûr";1;1;1;1;0
"loi";1;1;1;1;0
"armée";1;1;0;1;0,959
"public";1;1;1;0;0,791
"moyen";1;1;0,422;0;1
"commencer";1;1;0,015;1;0
"tuer";1;1;0;1;1
"regarder";1;1;1;1;0
"cher";1;1;1;0;1
"partie";1;1;1;0;0,112
"soutenir";1;1;0;1;1
"faux";1;1;1;1;0
"premier";1;1;1;0,116;0,003
"lieu";1;1;1;0,152;0
