"";"X.rts_a";"X.rts_i"
"avec";4,47;4,15
"ou";2,92;3,77
"sans";1,59;1,79
"drogue";0,06;0,14
"à";14,72;14,96
"voir";3,72;3,28
"la";22,06;23,12
"tête";0,44;0,23
"de";33,68;36,69
"certains";0,56;0,56
"je";11,05;8,26
"me";2,73;1,4
"poser";0,4;0,3
"question";0,88;0,89
"quand";2,65;2,36
"on";10,02;9,98
"avoir";27,31;20,5
"lancer";0,06;0,08
"ce";8,02;7,79
"truc";0,33;0,25
"jamais";1,38;1,02
"penser";1,53;1,44
"qu";6,72;6,53
"en";13,58;14,11
"parler";2,12;2,16
"40";0,17;0,11
"an";1,86;1,04
"plus";6,29;7,19
"tard";0,24;0,14
"et";21,86;21,98
"ils";4,54;4,79
"gagner";0,21;0,4
"rien";2,06;2,07
"emji_visage_en_pleine_réflexion";0,51;0,41
"emji_visage_souriant_avec_yeux_rieurs";0,5;0,11
"elles";0,83;0,65
"même";3,6;3,19
"couleur";0,15;0,07
"tout";4,69;4,11
"cas";0,6;0,9
"tu";3,67;3,58
"ne";14,16;14,76
"pas";16,42;17,29
"changer";1,3;0,69
"presque";0,23;0,17
"emji_visage_faisant_un_clin_d_oeil";0,91;0,39
"être";41,78;38,33
"le";18,08;18,59
"fin";0,48;0,36
"c";15,81;13,69
"un";11,23;11,84
"mieux";1;0,9
"avant";1,37;0,9
"aujourd_hui";2,55;0,36
"les";21,56;23,04
"enfant";2,26;1,41
"faire";8,28;8,8
"des";12,72;14,82
"danser";0,05;0,01
"sur";3,68;4,72
"tiktok";0,06;0,02
"l";13,64;13,59
"époque";2,79;0,19
"du";6,03;6,2
"style";0,08;0,06
"grâce";0,2;0,17
"contrairement";0,08;0,1
"pouvoir";3,35;4,25
"mettre";1,12;1,48
"musique";0,17;0,07
"dehors";0,12;0,11
"aller";3,1;4,31
"mon";2,1;1,21
"ami";0,41;0,21
"rassurer";0,05;0,06
"moi";1,93;1,11
"ça";7,74;6,53
"t";1,53;1,47
"petit";1,61;0,84
"plein";0,45;0,41
"qui";9,23;10,91
"s";2,99;3,02
"afficher";0,01;0,01
"juste";1,33;1,49
"peut_être";0,38;0,42
"remettre";0,23;0,23
"système";0,19;0,6
"plutôt";0,47;0,64
"que";13,05;14,96
"juger";0,14;0,11
"coup";0,57;0,53
"terme";0,2;0,29
"sexiste";0,03;0,02
"nous";3,13;2,72
"deux";0,6;0,61
"sortir";0,42;0,47
"suisse";2,18;4,25
"deuxième";0,05;0,06
"slide";0;0,02
"français";1,05;0,71
"budget";0,03;0,15
"dingue";0,1;0,05
"emji_visage_très_souriant_aux_yeux_rieurs";0,15;0,05
"rts";0,3;0,47
"dire";4,59;3,37
"bleu";0,05;0,04
"emji_homme_avec_la_paume_sur_le_visage";0,03;0,03
"inviter";0,07;0,08
"dame";0,8;0,04
"emji_feu";0,31;0,19
"y";4,54;4,35
"espoir";0,04;0,04
"pour";9,24;11,83
"tes";0,29;0,34
"20";0,26;0,24
"euro";0,17;0,05
"bravo";0,56;0,39
"nos";1,15;1,14
"cousin";0,02;0,01
"belge";0,05;0,01
"une";8,59;8,92
"très";2,13;1,54
"beau";1,6;0,51
"mentalité";0,13;0,09
"dans";6,54;6,38
"victoire";0,04;0,04
"comme";3,83;3,38
"défaite";0,02;0,01
"bon";2,43;1,97
"chance";0,26;0,24
"rester";0,89;1,14
"compétition";0,05;0,04
"vraiment";1,22;1,15
"insupportable";0,04;0,04
"ces";2,11;2,29
"gens";2;2,1
"cirque";0,02;0,02
"pareil";0,39;0,29
"inculte";0,02;0,02
"tellement";1,05;0,46
"bas";0,21;0,31
"rapporter";0,03;0,07
"centime";0,03;0,03
"vous";5,93;7,55
"payer";0,43;1,63
"votre";0,92;1,51
"loyer";0,02;0,21
"ni";0,65;0,58
"vos";0,51;0,7
"facture";0,02;0,08
"chaque";0,48;0,64
"mois";0,24;0,41
"il";9,85;8,66
"sport";0,23;0,15
"ci";0,04;0,04
"loin";0,34;0,27
"d";9,98;11,65
"chose";1,59;1,29
"nécessaire";0,07;0,15
"monde";1,72;1,99
"mourir";0,19;0,15
"faim";0,06;0,06
"battre";0,3;0,17
"leur";2,07;2,27
"survie";0,03;0,02
"contre";0,58;0,94
"maladie";0,18;0,34
"bête";0,22;0,05
"sauvage";0,27;0,02
"humain";0,79;0,6
"devenir";0,9;0,78
"pathétique";0,04;0,03
"siècle";0,12;0,08
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";0,04;0,05
"oser";0,16;0,13
"devoir";1,75;2,21
"viser";0,04;0,11
"couper";0,26;0,3
"bien";4,91;3,7
"merci";1,35;0,87
"pr";0,05;0,06
"réponse";0,43;0,27
"cet";0,52;0,35
"échange";0,05;0,09
"constructif";0,02;0,04
"plaisir";0,43;0,19
"ya";0,14;0,08
"origine";0,16;0,14
"ds";0,1;0,03
"cette";3,33;1,84
"équipe";0,22;0,33
"aussi";2,38;2,1
"j";6,97;3,24
"espérer";0,37;0,4
"là";1,23;1,19
"europe";0,1;0,34
"emji_applaudissements";0,96;0,66
"école";0,74;0,4
"vivre";1,27;0,95
"apprendre";0,75;0,37
"oublier";0,43;0,38
"leurs";0,98;1,01
"racine";0,04;0,02
"où";1,45;1,32
"mal";0,77;0,63
"hop";0,04;0,04
"emji_drapeau_suisse";0,2;0,23
"croiser";0,07;0,04
"doigt";0,13;0,1
"depuis";0,92;0,74
"suède";0;0,02
"jusqu_au";0,09;0,06
"dernier";0,54;0,31
"pffff";0,01;0,02
"ben";0,27;0,26
"elle";3,69;1,5
"chez";0,84;0,7
"pourquoi";0,82;1,03
"venir";1,08;0,99
"puisqu";0,05;0,04
"aimer";1,46;0,5
"hippie";0,03;0
"alors";1,38;1,81
"se";3,69;4,2
"payant";0,03;0,02
"avion";0,11;0,1
"gonfler";0,03;0,01
"femme";2,46;1,55
"prendre";1,3;1,62
"analyse";0,06;0,08
"correct";0,05;0,08
"peu";1,35;1,15
"moins";1,19;1,42
"maintenant";1,3;0,44
"adorer";0,49;0,07
"genre";0,46;0,59
"clip";0,02;0
"par";2,92;3,88
"faute";0,29;0,25
"traduction";0,02;0,01
"super";0,38;0,29
"ego";0,04;0,03
"au";3,91;4,11
"correction";0,02;0,01
"fier";0,14;0,07
"rue";0,27;0,23
"police";0,15;0,8
"avertir";0,01;0,01
"voiture";0,33;0,34
"amande";0,01;0,02
"100";0,14;0,31
"oui";2,07;1,83
"argent";0,29;0,89
"vrai";1,3;1,02
"oh";0,24;0,12
"dieu";0,72;0,1
"m";1,28;0,84
"vendre";0,13;0,21
"rêve";0,13;0,06
"apercevoir";0,03;0,01
"min";0,03;0,02
"2";0,65;0,73
"34";0,01;0,02
"emji_visage_envoyant_un_bisou";0,16;0,07
"hé";0,03;0,01
"croire";0,87;0,72
"religieux";0,06;0,02
"historien";0,01;0,01
"représenter";0,07;0,25
"musée";0,03;0,05
"enseigner";0,11;0,03
"histoire";0,4;0,43
"emji_visage_riant_aux_larmes";3,24;2,13
"toi";0,89;0,85
"meilleur";0,47;0,42
"erreur";0,11;0,17
"passer";1,4;1,27
"ouf";0,06;0,04
"dur";0,24;0,24
"ptn";0,02;0,01
"gêner";0,08;0,05
"pensée";0,17;0,09
"regarder";0,71;0,51
"jusqu_à";0,2;0,18
"disparaître";0,19;0,11
"vite";0,4;0,2
"arrivée";0,06;0,04
"finalement";0,14;0,11
"parfois";0,27;0,19
"allure";0,02;0,01
"calme";0,1;0,03
"vieux";0,52;0,11
"grave";0,14;0,18
"france";0,85;0,87
"partir";0,33;0,76
"clairement";0,17;0,25
"relire";0,06;0,08
"publier";0,03;0,07
"enfin";0,26;0,34
"autres";1,07;1,52
"explication";0,04;0,06
"nettement";0,03;0,03
"conditionner";0,01;0,01
"déjà";1,12;1,48
"amitié";0,02;0,02
"fort";0,23;0,25
"hypocrisie";0,03;0,07
"emji_visage_mécontent";0,01;0,01
"vocabulaire";0,19;0,02
"choisir";0,19;0,27
"phrase";0,2;0,11
"complexe";0,05;0,07
"souvenir";0,84;0,06
"nombreux";0,13;0,17
"romand";0,08;0,06
"étudiant";0,05;0,1
"science";0,13;0,08
"éducation";0,32;0,17
"tous";1,74;1,7
"emji_coeur_rouge";1,19;0,23
"mes";1,07;0,49
"grand";1,24;1,1
"frère";0,13;0,04
"soeur";0,12;0,02
"10";0,31;0,39
"camp";0,04;0,06
"trop";1,2;1,03
"importer";0,46;0,54
"lesquels";0,02;0,02
"emji_visage_avec_un_léger_sourire";0,18;0,08
"vachement";0,03;0,02
"classe";0,46;0,33
"ciao";0,03;0,01
"partout";0,25;0,23
"moitié";0,18;0,13
"arrière";0,15;0,05
"part";0,46;0,57
"blanc";0,39;0,2
"voler";0,15;0,19
"donc";1,38;2,11
"après";0,99;1,01
"marine";0,02;0
"car";1,06;1,14
"malheureusement";0,62;0,34
"1er";0,08;0,07
"acheter";0,33;0,34
"pot";0,04;0,03
"italie";0,08;0,07
"évidemment";0,15;0,18
"groupe";0,14;0,18
"travailleur";0,04;0,11
"social";0,29;0,61
"organiser";0,05;0,06
"jour";1,32;1
"jeune";1,18;0,48
"piste";0,04;0,06
"réaliser";0,08;0,07
"vaud";0,08;0,11
"média";0,06;0,22
"sensibiliser";0,01;0,01
"politicien";0,03;0,12
"urgence";0,03;0,05
"proposer";0,1;0,18
"aux";1,45;1,96
"espace";0,09;0,11
"entièrement";0,06;0,05
"consacrer";0,01;0,02
"conduire";0,07;0,08
"genève";0,36;0,5
"début";0,32;0,15
"70";0,27;0,05
"étude";0,13;0,39
"comparer";0,16;0,13
"lausanne";0,19;0,24
"plat";0,05;0,02
"mais";6,41;7,02
"besoin";0,54;0,75
"stop";0,05;0,06
"manière";0,26;0,35
"apprécier";0,14;0,04
"pays";0,55;1,83
"ses";1,07;0,93
"habitant";0,04;0,12
"72";0,02;0,01
"turquie";0,03;0,02
"toute";0,68;0,72
"côte";0,03;0,01
"us";0,02;0,09
"87";0,01;0,01
"quelques";0,32;0,34
"année";1,74;0,91
"rencontre";0,05;0,02
"incroyable";0,32;0,12
"voyage";0,08;0,1
"compte";0,38;0,57
"destination";0,01;0,02
"recommander";0,03;0,03
"chacun";0,28;0,24
"cela";1,15;1,25
"donner";1,07;1,1
"goût";0,11;0,08
"hasard";0,07;0,07
"découverte";0,03;0,02
"intéressant";0,28;0,18
"entendre";0,54;0,27
"son";1,99;1,42
"regard";0,1;0,04
"homme";2,16;1,05
"sa";1,57;1,01
"jeunesse";0,24;0,05
"réflexion";0,15;0,09
"urbain";0,01;0,01
"air";0,41;0,18
"remonter";0,05;0,04
"lol";0,18;0,09
"fou";0,34;0,22
"image";0,27;0,21
"gros";0,36;0,45
"problème";0,63;1,37
"montrer";0,26;0,42
"reconnaître";0,17;0,12
"magnifique";0,22;0,08
"reportage";0,34;0,07
"etait";0,23;0,07
"considérer";0,11;0,15
"réseau";0,24;0,21
"passion";0,09;0,03
"excellent";0,15;0,11
"vidéo";0,94;0,23
"témoignage";0,11;0,02
"notre";0,96;1,03
"perdre";0,45;0,48
"suffire";0,15;0,27
"taper";0,09;0,08
"nom";0,64;0,18
"facebook";0,01;0,01
"savoir";2,48;1,89
"street";0,02;0
"fils";0,17;0,06
"suivre";0,2;0,27
"roi";0,07;0,03
"roller";0,01;0,01
"mère";0,39;0,13
"lorsque";0,13;0,12
"descendre";0,04;0,05
"quelle";0,88;0,52
"permettre";0,3;0,57
"lien";0,12;0,18
"concerner";0,1;0,27
"archive";0,38;0
"haha";0,11;0,05
"mort";0,34;0,25
"chaud";0,05;0,06
"affronter";0,02;0,02
"ville";0,32;0,42
"emji_visage_avec_bouche_ouverte";0,48;0,24
"bus";0,08;0,09
"orange";0,05;0,02
"sentir";0,77;0,78
"partie";0,39;0,47
"monter";0,1;0,14
"redescendre";0,01;0,02
"bord";0,05;0,05
"lac";0,04;0,03
"mignon";0,13;0,01
"naïf";0,04;0,04
"temps";1,76;1,23
"eux";0,63;0,82
"réchauffement";0,07;0,08
"climatique";0,09;0,19
"repos";0,03;0,01
"nourrir";0,47;0,11
"soigner";0,08;0,13
"visionnaire";0,03;0,01
"écouter";0,43;0,22
"si";3,89;4,54
"sage";0,08;0,01
"philosophie";0,08;0,01
"adulte";0,26;0,16
"celui";0,28;0,16
"essence";0,03;0,04
"assez";0,34;0,46
"électrique";0,05;0,05
"non";2,07;2,45
