"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11"
"suisse";0;1;1;1;1;1;0;1;0,981;0;1
"emji_drapeau_suisse";1;0,073;1;1;0,674;0,058;0;1;1;0;1
"année";0,073;0,321;0,768;0,594;1;1;0;1;1;0,798;0,92
"premier";0,424;0,002;1;1;1;0;0,459;0,179;1;0,292;1
"émission";0;1;1;0,982;1;1;1;1;1;1;1
"genève";1;1;1;1;0,727;1;1;0,07;1;0;1
"petit";1;1;0;0;1;1;1;1;1;1;0
"jeune";0;1;1;0,047;1;1;0,878;0,645;1;1;0,012
"grand";1;0,899;0,825;0,39;1;1;1;1;0,013;0,174;0,499
"retrouver";0;1;1;1;1;1;1;1;1;1;1
"monde";0,608;1;1;1;1;1;1;1;0;1;1
"rts";0;1;1;1;1;1;1;1;1;1;1
"jour";1;0,096;1;1;0,304;0;1;1;0,635;1;0,661
"femme";1;1;1;1;1;0,786;0;1;1;0,52;0,433
"vie";0,001;1;0,532;1;1;1;1;1;1;1;0
"enfant";0,751;1;1;0;0,001;1;0,483;0,227;1;1;1
"miracle";0;1;1;1;1;1;1;1;1;1;1
"archive";0;1;1;1;1;1;1;1;1;1;1
"annoncer";1;0,051;1;1;0;0;1;1;1;0,33;1
"samedi";0;0,916;1;1;0,001;1;1;1;1;1;1
"mettre";1;1;1;1;0,374;0;0,208;0,413;1;0,023;1
"lausanne";0,575;1;0,613;1;0,924;1;0,315;0,791;1;0,208;1
"aller";1;1;1;0;1;1;1;1;0,666;0;1
"pays";1;0,471;1;1;0,651;0;1;1;1;1;1
"conseil";1;1;1;1;1;0;1;1;1;0;1
"dernier";1;0,347;1;1;0,044;0,654;0,017;1;0,521;0;1
"unir";1;0,729;1;1;0,989;0;1;1;1;1;1
"prendre";0,637;1;1;1;0,623;1;0,03;1;0,65;1;0,016
"heure";1;1;1;0,224;1;1;1;0,927;0,013;0,001;1
"public";0,884;0,985;0,928;1;1;0,042;1;0,653;0,842;0,039;1
"nouveau";1;0,126;1;1;1;0,866;0,468;0,028;1;0,006;1
"homme";1;1;1;1;0,179;0,125;0,027;1;1;1;0,003
"fin";1;0,445;1;1;1;0,004;0,389;1;1;0,269;1
"passer";0,97;1;1;0,149;1;1;0,997;0,819;1;0;0,617
"temps";0,025;1;1;0;1;1;1;1;1;0,318;0,772
"novembre";1;0;1;1;0,287;0,654;0,965;1;1;0,085;1
"noël";1;0;1;0,69;1;1;1;0,246;0;1;1
"fédéral";1;1;1;1;1;0,001;0;1;1;0;1
"canton";1;1;1;1;1;1;0,389;0,873;1;0;1
"face";1;1;1;1;0,068;0,806;0,207;0,001;1;0;1
"franc";1;0,975;1;1;0,019;1;0,023;1;1;0;1
"décembre";1;0;1;1;1;1;0,587;0,929;1;0,003;1
"devenir";0,484;0,123;1;1;1;0,133;1;1;0,001;1;0,485
"partir";0,702;1;1;0,051;1;0,08;1;0,592;1;0,032;1
"ville";1;0,004;1;0,919;0,806;1;1;1;0,535;0,562;1
"notamment";1;0,017;1;1;1;0,347;0,043;0;1;0,189;1
"mondial";1;0;1;1;1;1;0;1;0,162;1;1
"jeudi";1;0,009;1;1;0,005;0;0,954;0,899;1;0,676;1
"romand";0;1;0,371;1;1;1;1;1;0,495;0,826;1
"fête";0,096;1;0,107;0,332;1;1;0,76;1;0,03;1;1
"connaître";0,938;0,064;1;0,001;1;1;0,315;1;0,493;0,741;1
"travail";1;1;1;1;1;0,517;0,004;1;1;0,008;1
"national";1;1;1;1;1;0,022;0,362;1;0,823;0;1
"lundi";1;0,352;1;1;0;0,051;1;1;1;0,182;1
"lancer";1;1;1;1;0,122;1;1;0,535;0,096;0,005;1
"dimanche";1;0,116;1;1;0;0,036;1;1;1;0,676;1
"vaudois";1;1;1;1;1;0,69;1;1;0,012;0,001;0,623
"révéler";1;1;1;1;1;1;0;0;1;1;1
"permettre";1;1;1;1;1;1;1;0;1;0;1
"voir";1;1;0,774;1;1;1;0,762;0,004;0,018;1;0,39
"viser";1;1;1;1;0,108;0;0,038;1;1;0;1
"rester";1;0,789;1;1;0,152;0,2;0,001;0,592;1;1;1
"rencontre";0,736;1;0,774;1;1;0,767;1;1;0,142;1;0
"près_de";0,93;0,297;1;1;0,084;0,536;0;1;1;1;1
