"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"emji_visage_riant_aux_larmes";1;0;1;1;1;1;1
"aller";1;1;0,308;0;0;0;0
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";0;1;1;1;1;1;1
"emji_coeur_rouge";0;1;1;1;1;1;1
"suisse";1;1;0,076;0;1;1;1
"voir";1;1;1;0,985;0,003;0;0
"emji_applaudissements";0;1;1;1;1;1;1
"parler";1;1;0;0,202;1;0;1
"emji_se_rouler_par_terre_de_rire";1;0;1;1;1;1;1
"gens";1;1;1;0,001;0,173;0;0
"monde";1;1;0,149;0;1;0,551;0
"femme";1;1;1;1;1;0;0
"emji_visage_qui_pleure";0;1;1;1;0,049;1;0
"enfant";1;1;0;1;1;1;0
"beau";0;1;1;1;0,522;1;0
"époque";0,128;1;1;1;1;1;0
"prendre";1;1;1;0;0,002;0;0,001
"pays";1;1;0;0;1;1;1
"vie";1;1;1;1;1;1;0
"penser";1;1;1;1;0,106;0;0
"comprendre";1;1;1;1;1;0;1
"homme";1;1;1;1;1;0;0
"temps";1;1;1;0,362;1;1;0
"aimer";1;0;1;1;0;1;0
"chose";1;1;1;1;1;0;0
"passer";1;1;0,305;0;1;1;0
"mettre";1;1;0,749;0;1;0;0
"petit";1;1;1;1;0;1;0
"année";1;1;1;0;1;1;0
"vrai";1;1;1;1;1;0;0,001
"emji_feu";0;1;1;1;1;1;1
"emji_mains_levées";0;1;1;1;1;1;1
"grand";1;1;1;0;0,347;1;0
"vraiment";1;1;1;1;1;0;0
"jour";1;1;1;0,143;0;1;0
"emji_visage_souriant_avec_une_goutte_de_sueur";1;0;1;1;1;1;1
"venir";1;1;0,359;0;0;0,014;0
"trouver";1;1;1;0;0,32;0;0
"emji_visage_souriant_avec_coeurs";0;1;1;1;1;1;1
"tellement";0;1;1;1;1;1;0
"donner";1;1;1;0,045;0;0;0
"vivre";1;1;1;0;0,179;1;0
"rester";1;1;1;0;0;0;0
"payer";1;1;1;0;1;1;1
"problème";1;1;1;0;0,174;0;0,476
"français";1;0;1;0;1;0;1
"connaître";1;1;1;1;1;0;0
"emji_mains_en_prière";0;1;1;1;1;1;1
"changer";1;1;1;1;1;1;0
"souvenir";0;1;1;1;1;1;0,044
"france";1;1;1;0;1;1;1
"fois";1;1;0,528;0;1;0,009;0
"commentaire";1;1;1;1;1;0;1
"seul";1;1;0;0;0,001;0;0
"arrêter";1;1;0;0;0,151;0,005;0,001
"demander";1;1;0;0;1;0;0
"droit";1;1;0;0,297;1;0;1
"question";1;1;1;1;1;0;1
"emji_visage_faisant_un_clin_d_oeil";1;0;1;1;0,546;0;0,31
"devenir";1;1;1;0;0;0,189;0
"travail";1;1;1;0;1;1;0,005
"emji_visage_avec_bouche_ouverte";0;0,768;1;1;1;1;1
