"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"emji_visage_riant_aux_larmes";1;1;1;1;1;1;1;0,752;1;0
"emji_se_rouler_par_terre_de_rire";0,098;1;1;1;1;1;1;1;1;0
"emji_visage_souriant_avec_une_goutte_de_sueur";1;1;1;1;1;1;1;1;1;0
"suisse";1;1;1;1;1;1;1;1;1;0
"aimer";1;1;1;0;1;1;1;1;1;1
"accent";1;1;1;1;1;1;1;1;1;0
"emji_visage_qui_pleure_à_chaudes_larmes";1;1;1;1;1;1;1;1;1;0,254
"aller";1;1;1;1;1;1;1;1;1;0,022
"emji_visage_faisant_un_clin_d_oeil";1;1;1;1;1;1;1;1;0,552;0,002
"hiver";1;1;1;0;1;1;1;1;1;1
"français";1;1;1;1;1;1;1;1;1;0
"voir";1;1;1;1;1;1;1;1;1;0,069
"parler";1;1;1;1;1;1;1;1;1;0
"emji_visage_souriant_aux_yeux_rieurs";1;1;1;1;1;1;1;1;1;0,008
"emji_visage_qui_hurle_de_peur";1;1;0;1;1;1;1;1;1;0,986
"époque";1;1;0,765;1;1;1;1;0,02;1;0,217
"petit";1;1;0,623;1;1;1;1;1;1;0,377
"penser";1;1;1;1;1;1;1;1;1;0,006
"rire";1;1;1;1;1;1;1;1;1;0,003
"genève";1;1;1;1;1;0,005;1;1;1;0,026
"mdr";1;1;1;1;1;1;1;1;1;0,003
"adorer";1;1;1;0;1;1;1;1;1;1
"france";1;1;1;1;1;1;1;1;0,212;0,16
"emji_visage_souriant_avec_yeux_plissés";1;1;1;1;1;1;1;1;1;0,034
"mot";1;1;1;1;1;1;1;1;1;0,006
"venir";1;1;1;1;1;1;1;1;1;0,216
"froid";1;1;1;0;1;1;1;1;1;1
"beau";1;1;1;0,318;1;1;1;1;1;1
"vrai";1;1;1;1;1;1;1;1;1;0,155
"lac";1;1;1;1;1;1;1;1;1;0,015
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";1;1;1;0,06;1;1;1;1;1;1
"emji_visage_avec_bouche_ouverte";1;1;0,146;1;1;1;1;1;1;0,223
"tellement";1;1;1;1;1;1;1;1;1;0,182
"année";1;1;1;0,224;1;1;1;1;1;1
"appeler";1;1;1;1;1;1;1;1;0,114;0,035
"pareil";1;1;1;1;1;1;1;1;1;0,386
"chaud";1;1;1;0;1;1;1;1;1;1
"souvenir";1;1;0,943;1;1;1;1;1;1;0,117
"vaudois";1;1;1;1;1;1;1;1;1;0,041
"utiliser";1;1;1;1;1;1;1;1;1;0,015
"emji_visage_nauséeux";1;1;0;1;1;1;1;1;1;1
"entendre";1;1;1;1;1;1;1;1;1;0,051
"emji_visage_qui_pleure";1;1;0,006;0;1;1;1;1;1;1
"canton";1;1;1;1;1;1;1;1;1;0,021
"manger";1;1;1;1;1;1;1;1;0;0,151
"drôle";1;1;1;1;1;1;1;1;1;0,018
"connaître";1;1;1;1;1;1;1;1;1;0,058
"grand";1;1;1;1;1;1;1;1;1;0,021
"valoir";1;1;1;1;1;1;1;1;1;0,079
"franc";1;1;1;1;1;1;1;1;1;0,028
"comprendre";1;1;1;1;1;1;1;1;1;0,449
"vieux";1;1;1;1;1;1;1;1;1;0,025
"emji_coeur_rouge";1;1;1;1;1;1;1;1;1;0,166
"prendre";1;1;1;1;1;1;1;1;1;0,033
"chose";1;1;1;1;1;1;1;1;1;0,033
"vidéo";1;1;1;1;1;1;1;1;1;0,04
"neige";1;1;1;0;1;1;1;1;1;1
"emji_singe_ne_rien_voir";1;1;1;1;1;1;1;1;1;0,096
