"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"emji_visage_riant_aux_larmes";472,091;1,311;-167,048;-73,432;-0,134;67,471;-99,967
"aller";-764,648;-1,638;-1,507;107,962;-2,012;4,639;266,928
"voir";-383,456;-4,327;-28,839;-24,074;-1,925;21,743;567,187
"suisse";-474,955;-24,85;-1,448;1847,975;-48,474;-0,502;-201,015
"parler";-302,365;-10,663;12,37;-20,514;-6,522;271,147;71,105
"emji_coeur_rouge";5080,552;-22,745;-156,774;-484,555;-24,239;-207,714;-673,065
"gens";-387,2;0,018;-13,23;-0,024;-3,074;-4,287;512,163
"monde";-332,381;-8,316;-0,882;14,078;-9,498;-37,028;396,176
"femme";-164,851;-5,685;-77,097;-296,223;-21,635;-126,903;1825,784
"enfant";-119,356;-16,584;7,522;-107,509;-15,213;-89,127;697,149
"emji_applaudissements";2033,991;-3,436;-49,583;-189,015;-20,777;-70,432;-305,828
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";4608,171;-19,42;-161,916;-406,988;-29,372;-171,826;-632,712
"prendre";-333,276;61,817;-11,25;113,025;6,579;10,482;20,677
"beau";2536,012;-19,065;-138,991;-239,676;-21,699;-109,893;-247,384
"époque";862,701;-9,453;-116,368;-132,629;-16,72;-37,99;-14,973
"pays";-390,894;-6,353;357,977;221,378;-15,532;-18,659;-5,576
"penser";-201,854;-4,93;-41,042;-28,896;-1,644;-2,569;583,657
"vie";-25,024;-4,712;-82,329;-4,743;-7,796;-93,036;411,621
"homme";-85,013;-11,804;-57,636;-311,425;-3,077;-123,122;1466,154
"comprendre";-187,961;-2,923;-25,081;-57,43;-3,485;38,546;382,27
"emji_se_rouler_par_terre_de_rire";43,74;7,207;-28,222;-9,746;0,318;29,859;-20,22
"temps";-79,809;-6,849;-52,299;-6,843;-2,16;-4,681;317,213
"aimer";684,11;-0,074;-69,092;-152,484;-0,414;-29,315;-15,362
"chose";-264,832;-4,549;-22,206;-49,368;-1,486;-13,298;775,733
"passer";-166,829;-0,024;-0,448;11,513;-15,414;-0,68;123,693
"mettre";-292,416;-0,428;-2,015;137,103;-0,694;1,694;32,527
"année";0;-5,75;-53,554;122,56;-1,326;-1,733;-12,672
"petit";26,912;10;-31,311;-0,003;11,234;-7,72;-1,262
"vrai";-19,962;-7,286;-12,313;-6,406;-5,967;-6,88;140,343
"grand";-1,538;-3,576;-40,92;117,342;-4,413;-20,001;-0,241
"vraiment";-63,686;-5,391;-22,572;-9,606;-1,178;0,056;195,293
"emji_visage_qui_pleure";92,542;-4,688;-5,803;-16,535;2,226;-28,241;-0,001
"jour";-134,125;12,693;-18,257;4,278;3,849;-9,707;149,99
"trouver";-102,654;4,448;-26,168;0,138;-1,614;4,58;115,021
"venir";-166,395;-2,331;-1,097;6,891;5,829;61,381;21,282
"donner";-160,866;-9,845;-4,715;-4,287;24,364;1,717;181,205
"vivre";-80,847;-1,251;-18,871;0,011;-0,172;-51,226;264,861
"rester";-196,486;-0,304;-4,453;56,703;-0,292;-26,64;128,61
"payer";-341,937;-14,007;-31,516;2492,228;-15,894;-109,834;-234,126
"tellement";693,558;-0,504;-58,307;-91,89;-4,493;-39,774;-34,416
"problème";-324,036;-5,665;-16,494;61,825;-1,71;-20,214;262,656
"français";-86,294;62,82;-52,678;0,971;-19,626;1533,702;-222,007
"connaître";-33,605;0,002;-12,704;-44,745;-5,364;-7,074;262,307
"changer";-99,606;-2,939;-32,709;-9,081;-7,097;-17,032;386,198
"souvenir";2133,769;-14,293;-81,824;-169,545;-15,203;-79,684;-297,618
"france";-182,972;63,308;-28,984;587,282;-4,28;-4,523;-34,839
"fois";-131,859;93,703;-0,359;3,59;-7,94;11,877;29,597
"commentaire";-173,854;-7,591;-36,63;-190,857;-2,286;2494,845;-17,385
"emji_visage_souriant_avec_une_goutte_de_sueur";101,337;4,119;-37,562;-26,825;2,206;31,975;-30,978
"arrêter";-242,416;-7,094;133,16;25,135;0,05;0,015;9,803
"seul";-159,842;-1,242;5;2,745;2,066;-3,873;100,399
"demander";-201,823;-2,419;4,812;3,59;-6,187;8,84;84,756
"droit";-239,53;-10,733;514,632;-0,684;-4,671;-24,701;31,423
"question";-216,513;-3,972;-18,719;-30,385;-2,023;0,058;491,531
"devenir";-83,522;-9,022;-31,31;66,048;2,652;-0,415;28,775
"travail";-161,817;-0,866;-30,875;248,33;-6,751;-26,738;30,995
"cas";-184,368;-3,179;-4,913;13,136;-7,956;-13,998;212,025
"jeune";-3,73;-5,244;-59,429;-54,694;-6,171;-11,238;287,835
"raison";-23,399;-7,051;-4,913;-15,904;0,646;-14,801;157,438
"sentir";-88,803;-0,672;-20,202;-22,736;-0,28;-1,496;293,159
"emji_visage_faisant_un_clin_d_oeil";12,661;3,055;-34,84;-8,161;-1,799;7,765;1,197
"emji_feu";1180,268;-3,764;-24,21;-105,765;-10,969;-56,81;-166,754
"police";-194,939;-10,398;325,898;-11,146;-13,249;-9,631;73,405
"exister";-86,268;2,729;-0,243;-1,455;-1,366;-7,397;139,884
"humain";-115,31;-10,723;1,298;-35,558;86,293;-26,808;263,46
"accord";-109,165;-4,061;176,694;4,116;-0,693;-3,389;2,116
"arriver";-92,7;-0,185;-8,63;0,714;-9,989;3,971;94,829
