"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"emji_visage_riant_aux_larmes";0;0,252;1;1;1;0;1
"aller";1;1;1;0;1;0,031;0
"voir";1;1;1;1;1;0;0
"suisse";1;1;1;0;1;1;1
"parler";1;1;0;1;1;0;0
"emji_coeur_rouge";0;1;1;1;1;1;1
"gens";1;0,892;1;1;1;1;0
"monde";1;1;1;0;1;1;0
"femme";1;1;1;1;1;1;0
"enfant";1;1;0,006;1;1;1;0
"emji_applaudissements";0;1;1;1;1;1;1
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";0;1;1;1;1;1;1
"prendre";1;0;1;0;0,01;0,001;0
"beau";0;1;1;1;1;1;1
"époque";0;1;1;1;1;1;1
"pays";1;1;0;0;1;1;1
"penser";1;1;1;1;1;1;0
"vie";1;1;1;1;1;1;0
"homme";1;1;1;1;1;1;0
"comprendre";1;1;1;1;1;0;0
"emji_se_rouler_par_terre_de_rire";0;0,007;1;1;0,573;0;1
"temps";1;1;1;1;1;1;0
"aimer";0;1;1;1;1;1;1
"chose";1;1;1;1;1;1;0
"passer";1;1;1;0,001;1;1;0
"mettre";1;1;1;0;1;0,193;0
"année";1;1;1;0;1;1;1
"petit";0;0,002;1;1;0,001;1;1
"vrai";1;1;1;1;1;1;0
"grand";1;1;1;0;1;1;1
"vraiment";1;1;1;1;1;0,813;0
"emji_visage_qui_pleure";0;1;1;1;0,136;1;1
"jour";1;0;1;0,039;0,05;1;0
"trouver";1;0,035;1;0,711;1;0,032;0
"venir";1;1;1;0,009;0,016;0;0
"donner";1;1;1;1;0;0,19;0
"vivre";1;1;1;0,916;1;1;0
"rester";1;1;1;0;1;1;0
"payer";1;1;1;0;1;1;1
"tellement";0;1;1;1;1;1;1
"problème";1;1;1;0;1;1;0
"français";1;0;1;0,324;1;0;1
"connaître";1;0,961;1;1;1;1;0
"changer";1;1;1;1;1;1;0
"souvenir";0;1;1;1;1;1;1
"france";1;0;1;0;1;1;1
"fois";1;0;1;0,058;1;0,001;0
"commentaire";1;1;1;1;1;0;1
"emji_visage_souriant_avec_une_goutte_de_sueur";0;0,042;1;1;0,137;0;1
"arrêter";1;1;0;0;0,823;0,902;0,002
"seul";1;1;0,025;0,098;0,151;1;0
"demander";1;1;0,028;0,058;1;0,003;0
"droit";1;1;0;1;1;1;0
"question";1;1;1;1;1;0,809;0
"devenir";1;1;1;0;0,103;1;0
"travail";1;1;1;0;1;1;0
"cas";1;1;1;0;1;1;0
"jeune";1;1;1;1;1;1;0
"raison";1;1;1;1;0,421;1;0
