"";"banalfreq";"X.rts_a";"X.rts_i"
"et";8542;-0,4714;0,4714
"ils";1779;-0,796;0,796
"gagner";265;-0,4182;0,4182
"rien";690;-1,0963;1,0963
"emji_visage_en_pleine_réflexion";135;-0,404;0,404
"la";9231;1,5735;-1,5735
"suisse";2585;1,0968;-1,0968
"de";14313;-0,6648;0,6648
"tes";84;-0,777;0,777
"20";141;0,7068;-0,7068
"bravo";132;1,009;-1,009
"à";5834;1,8629;-1,8629
"ami";47;1,0017;-1,0017
"contrairement";33;-0,4642;0,4642
"belge";10;1,2533;-1,2533
"une";3269;-0,9983;0,9983
"mentalité";13;0,4621;-0,4621
"victoire";30;0,8939;-0,8939
"comme";1222;0,3244;-0,3244
"chance";87;-0,7128;0,7128
"le";7275;1,0715;-1,0715
"rester";401;-1,0518;1,0518
"compétition";21;0,4632;-0,4632
"rapporter";43;0,2709;-0,2709
"un";4356;0,476;-0,476
"centime";30;1,986;-1,986
"vous";1910;-1,5981;1,5981
"ni";199;0,6037;-0,6037
"vos";198;-0,3452;0,3452
"facture";51;-1,4477;1,4477
"chaque";280;-0,5849;0,5849
"mois";262;-0,3763;0,3763
"ce";2564;-0,8982;0,8982
"sport";43;1,0215;-1,0215
"ci";17;0,2455;-0,2455
"loin";99;1,4753;-1,4753
"chose";288;0,3358;-0,3358
"nécessaire";73;-0,9269;0,9269
"oser";37;-0,2844;0,2844
"devoir";800;-1,8387;1,8387
"viser";33;-1,4234;1,4234
"couper";183;-1,0223;1,0223
"ya";22;0,6531;-0,6531
"t";409;0,6844;-0,6844
"origine";42;-0,3034;0,3034
"équipe";235;0,4791;-0,4791
"espérer";75;-1,2618;1,2618
"là";365;0,3496;-0,3496
"emji_applaudissements";258;1,4627;-1,4627
"hop";20;0,3042;-0,3042
"emji_drapeau_suisse";118;0,791;-0,791
"on";3695;-1,7042;1,7042
"croiser";10;0,7523;-0,7523
"doigt";25;0,7103;-0,7103
"suède";15;-0,5255;0,5255
"ben";96;0,8661;-0,8661
"qu";2243;-0,2953;0,2953
"pourquoi";343;-1,746;1,746
"venir";351;0,7445;-0,7445
"puisqu";22;-0,2146;0,2146
"peut_être";131;0,8987;-0,8987
"alors";631;-1,191;1,191
"payant";23;0,8709;-0,8709
"l";5490;0,4928;-0,4928
"femme";195;1,1722;-1,1722
"fier";18;0,4017;-0,4017
"rue";74;1,4167;-1,4167
"police";150;-1,8317;1,8317
"amande";13;0,4621;-0,4621
"100";145;-1,4041;1,4041
"aussi";830;0,5784;-0,5784
"vrai";307;0,9768;-0,9768
"apercevoir";12;1,4377;-1,4377
"min";21;1,476;-1,476
"2";344;-0,3067;0,3067
"34";10;-0,53;0,53
"toi";180;-1,5877;1,5877
"meilleur";198;0,5363;-0,5363
"erreur";75;0,5925;-0,5925
"du";2641;1,3275;-1,3275
"passer";460;1,4283;-1,4283
"grave";49;-1,0036;1,0036
"pareil";94;-0,6324;0,6324
"tout";1491;1,2234;-1,2234
"partout";98;1,1256;-1,1256
"moitié";73;1,0297;-1,0297
"jusqu_à";85;0,3138;-0,3138
"arrière";32;1,0258;-1,0258
"part";202;-0,6654;0,6654
"car";459;-1,7442;1,7442
"malheureusement";99;1,078;-1,078
"faire";3067;0,8145;-0,8145
"voler";92;0,8678;-0,8678
"1er";24;0,3183;-0,3183
"italie";51;1,8367;-1,8367
"trop";388;0,4901;-0,4901
"évidemment";73;-0,3121;0,3121
"groupe";52;-0,8904;0,8904
"organiser";31;0,5754;-0,5754
"deux";243;0,8346;-0,8346
"jour";305;0,3942;-0,3942
"tous";624;-0,38;0,38
"piste";41;0,9037;-0,9037
"réaliser";32;-0,2636;0,2636
"média";39;-1,9007;1,9007
"politicien";67;-1,7376;1,7376
"urgence";27;0,5785;-0,5785
"proposer";83;-0,7407;0,7407
"espace";72;1,554;-1,554
"entièrement";31;1,456;-1,456
"conduire";58;1,8243;-1,8243
"début";50;1,6082;-1,6082
"comparer";61;-0,4727;0,4727
"lausanne";193;1,89;-1,89
"mais";2412;-1,9998;1,9998
"quand";873;0,9875;-0,9875
"même";1111;-0,3715;0,3715
"besoin";265;-1,9404;1,9404
"stop";28;1,0638;-1,0638
"apprécier";10;-0,2292;0,2292
"ses";325;0,9401;-0,9401
"habitant";76;-0,5094;0,5094
"turquie";13;0,807;-0,807
"toute";275;-0,9515;0,9515
"us";46;-1,1375;1,1375
"quelques";136;0,616;-0,616
"merci";254;1,9098;-1,9098
"permettre";259;-1,4177;1,4177
"mettre";563;0,7181;-0,7181
"lien";71;-1,3296;1,3296
"fou";39;0,7895;-0,7895
"mort";84;1,26;-1,26
"chaud";24;1,1138;-1,1138
"partie";228;-0,7299;0,7299
"monter";63;0,4395;-0,4395
"jusqu_au";21;1,9565;-1,9565
"bord";19;0,9129;-0,9129
"lac";16;0,8606;-0,8606
"penser";341;-1,8332;1,8332
"réchauffement";63;0,7538;-0,7538
"climatique";138;-0,5684;0,5684
"tête";71;0,5895;-0,5895
"nourrir";34;1,1604;-1,1604
"soigner";65;0,6658;-0,6658
"intéressant";54;0,3281;-0,3281
"voir";872;0,678;-0,678
"celui";71;1,9053;-1,9053
"choisir";70;-1,2768;1,2768
"essence";27;1,1601;-1,1601
"assez";206;0,3278;-0,3278
"électrique";48;1,4766;-1,4766
"non";878;-1,1667;1,1667
"battre";51;0,9852;-0,9852
"déjà";619;-1,4979;1,4979
"écologie";34;0,4298;-0,4298
"multinationale";29;-0,3077;0,3077
"gouvernement";74;-1,4926;1,4926
"vélo";119;1,056;-1,056
"respecter";102;-0,7361;0,7361
"nature";32;1,7236;-1,7236
"surtout";319;0,7166;-0,7166
"où";507;0,5017;-0,5017
"employer";16;-0,593;0,593
"difficulté";34;-0,5076;0,5076
"travailler";381;-1,4623;1,4623
"responsable";80;0,435;-0,435
"donner";298;-0,7484;0,7484
"au";1687;1,6893;-1,6893
"remarquer";18;1,0213;-1,0213
"style";13;1,2601;-1,2601
"inclure";12;0,5423;-0,5423
"niveau";208;-0,5106;0,5106
"élevé";81;-0,2959;0,2959
"logique";95;-1,7457;1,7457
"richesse";92;-0,894;0,894
"sa";351;1,6677;-1,6677
"perte";85;-0,6457;0,6457
"autre";315;-1,1198;1,1198
"enrichir";45;-1,4311;1,4311
"immigration";63;-0,7153;0,7153
"malgré";51;0,4197;-0,4197
"cela";459;-1,5066;1,5066
"arriver";199;-0,9353;0,9353
"vraiment";286;-1,1041;1,1041
"européen";109;-1,1731;1,1731
"situer";24;-0,2844;0,2844
"te";198;0,5363;-0,5363
"fin";95;-1,0115;1,0115
"grimper";11;0,6378;-0,6378
"pilier";26;0,2468;-0,2468
"pont";15;0,3366;-0,3366
"mur";28;1,4171;-1,4171
"fribourg";46;0,8283;-0,8283
"encore";616;1,9927;-1,9927
"artificiel";13;1,2601;-1,2601
"son";486;0,8744;-0,8744
"point";162;-0,9679;0,9679
"quantité";52;0,2672;-0,2672
"sucre";11;0,321;-0,321
"juste";463;0,2876;-0,2876
"entre";335;-1,0383;1,0383
"1";332;-0,5495;0,5495
"4000";11;-0,6115;0,6115
"finalement";33;0,4741;-0,4741
"simple";111;-1,0547;1,0547
"efficace";44;0,9531;-0,9531
"ton";169;-0,3754;0,3754
"vivre";305;1,0261;-1,0261
"devenir";353;0,5651;-0,5651
"catastrophique";16;0,2875;-0,2875
"empêcher";55;0,4265;-0,4265
"normalement";14;-0,2243;0,2243
"scandaleux";16;-0,593;0,593
"tiers";15;0,9756;-0,9756
"quelle";155;1,7046;-1,7046
"horreur";13;0,2219;-0,2219
"jeter";61;1,304;-1,304
"bateau";39;0,2592;-0,2592
"mer";24;1,5043;-1,5043
"3";216;-0,5764;0,5764
"eau";147;1,537;-1,537
"mal";179;0,6821;-0,6821
"faciliter";25;-0,5357;0,5357
"musée";28;0,5216;-0,5216
"site";57;0,5016;-0,5016
"parc";28;0,5216;-0,5216
"enfin";119;-0,8225;0,8225
"quels";22;-0,6495;0,6495
"rire";34;1,1604;-1,1604
"souffrir";28;0,7655;-0,7655
"co";27;0,5785;-0,5785
"fermer";69;0,841;-0,841
"er";10;0,3871;-0,3871
"limiter";44;-0,5304;0,5304
"beaucoup";438;-0,8742;0,8742
"mieux";319;-0,8933;0,8933
"tu";945;1,8199;-1,8199
"recherche";49;0,4922;-0,4922
"fumée";27;0,8411;-0,8411
"cigarette";36;0,5242;-0,5242
"alcool";55;0,7605;-0,7605
"mortel";26;-0,363;0,363
"voilà";80;1,7574;-1,7574
"drogue";63;-0,5387;0,5387
"rarement";11;0,321;-0,321
"chapeau";11;0,6378;-0,6378
"bas";137;-0,6597;0,6597
"offrir";150;0,3945;-0,3945
"sembler";88;0,3427;-0,3427
"concurrence";33;1,6057;-1,6057
"naturel";43;1,0215;-1,0215
"forêt";16;0,5301;-0,5301
"couvrir";36;-1,2111;1,2111
"neige";39;1,6804;-1,6804
"réjouir";21;-0,5883;0,5883
"retrouver";101;-0,2635;0,2635
"préféré";11;1,0782;-1,0782
"secret";29;0,47;-0,47
"mdr";59;0,4331;-0,4331
"perdre";183;-0,8865;0,8865
"hors";69;0,5155;-0,5155
"commun";86;-0,4097;0,4097
"entier";52;-0,8904;0,8904
"dépenser";85;-1,0113;1,0113
"inutile";58;0,8061;-0,8061
"couleur";12;0,5423;-0,5423
"ta";99;0,2959;-0,2959
"aucun";192;-1,8595;1,8595
"pauvre";166;0,5936;-0,5936
"elles";241;1,5055;-1,5055
"presque";77;0,2984;-0,2984
"autoroute";65;-0,3309;0,3309
"excellent";45;-0,3974;0,3974
"gens";565;-1,6555;1,6555
"victime";42;-0,3034;0,3034
"10";217;0,9839;-0,9839
"12";55;-0,4274;0,4274
"25";54;0,812;-0,812
"majeur";27;-0,9812;0,9812
"vie";370;0,5025;-0,5025
"compenser";25;-1,2793;1,2793
"0";88;0,5694;-0,5694
"émission";53;0,6666;-0,6666
"co2";31;0,819;-0,819
"heure";140;1,3269;-1,3269
"grand";518;0,7604;-0,7604
"homme";113;1,5311;-1,5311
"revenir";257;-1,3577;1,3577
"transport";132;0,4116;-0,4116
"lieu";187;0,2891;-0,2891
"franchement";38;-1,8191;1,8191
"dès";77;0,6687;-0,6687
"direct";63;-0,7153;0,7153
"affaire";56;-0,3263;0,3263
"écologique";53;0,6666;-0,6666
"lorsque";45;-0,5711;0,5711
"seul";289;-1,1805;1,1805
"déplacement";23;-0,2483;0,2483
"respect";32;1,3502;-1,3502
"salarial";27;0,3712;-0,3712
"rente";21;0,2645;-0,2645
"retraite";106;0,5277;-0,5277
"combat";11;-0,282;0,282
"double";54;0,812;-0,812
"journée";46;1,3469;-1,3469
"lit";11;0,321;-0,321
"21";15;0,6092;-0,6092
"h";71;1,1411;-1,1411
"épuiser";15;-0,2681;0,2681
"prendre";675;-0,6852;0,6852
"colère";10;0,3871;-0,3871
