"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8"
"emji_visage_riant_aux_larmes";1;0;1;1;1;1;1;1
"aller";1;1;0,315;0,441;0;0;1;0
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";0;1;1;1;1;1;1;1
"emji_coeur_rouge";0;1;1;1;1;1;1;1
"suisse";1;1;0,047;1;1;1;1;0
"voir";1;1;1;0,08;0;0;0,873;1
"emji_applaudissements";0;1;1;1;1;1;1;1
"parler";1;1;0;1;1;0;0;0,324
"emji_se_rouler_par_terre_de_rire";1;0;1;1;1;1;1;1
"gens";1;1;1;0,176;0,01;0;1;0
"monde";1;1;0,034;1;0;0;0,315;0
"femme";1;1;1;1;1;1;0;1
"emji_visage_qui_pleure";0;1;1;0,014;0;1;1;1
"enfant";1;1;0;1;0;1;1;1
"beau";0;1;1;0,715;0;1;1;1
"époque";0,146;1;1;1;0;1;1;1
"prendre";1;1;1;0,001;0,098;0;0,101;0
"pays";1;1;0;1;1;1;1;0
"vie";1;1;1;1;0;1;0,358;0,671
"penser";1;1;1;0,178;0,62;0;0,002;1
"comprendre";1;1;1;0,865;1;0;0;1
"homme";1;1;1;1;1;1;0;1
"temps";1;1;1;1;0;0,085;1;0,215
"aimer";1;0;1;0;0;1;0,03;1
"chose";1;1;1;1;0;0;0,988;1
"passer";1;1;0,407;1;0;0,007;1;0
"mettre";1;1;1;1;0;0;0,001;0
"petit";1;1;1;0;0;1;1;1
"année";1;1;1;1;0;1;1;0
"vrai";1;1;1;1;1;0;0;1
"emji_feu";0;1;1;1;1;1;1;1
"emji_mains_levées";0;1;1;1;1;1;1;1
"grand";1;1;1;0,345;0;1;0,149;0
"vraiment";1;1;1;1;0,002;0;0,453;1
"jour";1;1;1;0;0;1;1;0,214
"emji_visage_souriant_avec_une_goutte_de_sueur";1;0;1;1;1;1;1;1
"venir";1;1;0,862;0;0,009;0;1;0
"trouver";1;1;1;0,713;0;0;0,017;0
"emji_visage_souriant_avec_coeurs";0;1;1;1;1;1;1;1
"tellement";0;1;1;1;0;1;0,669;1
"donner";1;1;1;0;0;0;1;0,007
"vivre";1;1;1;0,275;0;0,204;0,079;0
"rester";1;1;1;0,008;0;0;0,007;0
"payer";1;1;1;1;1;1;1;0
"problème";1;1;1;0,261;1;0;0;0
"français";1;0,001;1;1;1;0;1;0
"connaître";1;1;1;1;0;0;1;1
"emji_mains_en_prière";0;1;1;1;1;1;1;1
"changer";1;1;1;1;0;0;0,164;1
"souvenir";0;1;1;1;0;1;1;1
"france";1;1;1;1;1;1;1;0
"fois";1;1;0,576;1;0;0;1;0
"commentaire";1;1;1;1;1;0;1;1
"seul";1;1;0,001;0,001;0,281;0;0;0
"arrêter";1;1;0;0,369;0,255;0;0,335;0
"demander";1;1;0;1;0,019;0;0;0
"droit";1;1;0;1;1;0,573;0;0,149
"question";1;1;1;1;1;0;0,486;1
"emji_visage_faisant_un_clin_d_oeil";1;0;1;1;0,006;0;1;1
"devenir";1;1;1;0;0;0,005;0,245;0
