"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"emji_visage_riant_aux_larmes";457,753;1,153;-168,493;-85,411;-1,05;-9,282
"aller";-749,317;-1,508;-0,853;112,076;-0,061;241,845
"voir";-376,545;-4,23;-27,576;-21,638;-4,193;607,505
"suisse";-464,722;-24,478;-1,128;1965,394;-36,548;-234,183
"parler";-297,883;-10,598;12,118;-19,301;-6,984;320,669
"emji_coeur_rouge";5174,616;-22,367;-153,743;-472,586;-18,979;-1169,131
"gens";-383,784;0,022;-13,517;-0,22;-1,532;386,953
"monde";-324,996;-8,101;-0,261;16,109;-7,13;189,685
"femme";-159,363;-5,496;-73,947;-291,583;-19,387;1014,66
"enfant";-118,697;-16,641;7,715;-109,041;-12,139;335,544
"emji_applaudissements";2065,6;-3,345;-48,681;-184,592;-17,417;-489,653
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";4702,293;-19,109;-159,327;-397,12;-24,888;-1063,308
"prendre";-333,333;61,419;-11,483;107,615;4,213;44,529
"beau";2583,62;-18,761;-136,523;-234,89;-18,458;-481,458
"époque";846,413;-9,566;-117,237;-130,451;-14,113;-55,44
"pays";-383,177;-6,156;376,265;261,778;-14,041;-42,723
"penser";-197,288;-4,854;-40,425;-28,446;-0,812;440,88
"vie";-22,531;-4,522;-80,339;-3,476;-7,21;145,41
"homme";-80,857;-11,567;-55,982;-309,635;-2,623;786,265
"comprendre";-184,694;-2,85;-22,875;-55,753;-0,941;456,755
"emji_se_rouler_par_terre_de_rire";42,228;7,082;-28,585;-12,326;-0,217;0
"temps";-77,663;-6,749;-50,288;-5,391;-0,892;210,372
"aimer";689,876;-0,066;-68,561;-154,085;-0,517;-50,416
"chose";-261,068;-4,466;-21,661;-41,522;-0,77;516,209
"passer";-163,586;-0,017;-0,262;14,18;-11,495;81,755
"mettre";-291,828;-0,46;-1,734;143,131;-0,545;33,408
"année";0,026;-5,66;-54,052;135,2;-0,19;-24,262
"petit";24,698;9,774;-31,943;-0,135;20,247;-6,401
"vrai";-17,35;-7,188;-11,888;-7,14;-7,033;83,336
"grand";-1,261;-3,541;-39,434;115,626;-1,666;-13,038
"vraiment";-62,915;-5,362;-24,153;-11,48;-0,392;174,808
"emji_visage_qui_pleure";101,401;-4,666;-6,242;-16,481;0,621;-12,291
"jour";-134,131;12,435;-21,299;2,767;5,438;97,208
"trouver";-101,55;4,493;-25,956;0,636;-0,419;113,593
"venir";-165,745;-2,333;-1,107;4,287;6,909;92,619
"donner";-157,442;-9,717;-4,792;-3,024;28,7;165,425
"vivre";-77,483;-1,166;-16,367;0,409;-0,143;94,91
"rester";-195,763;-0,306;-4,902;51,137;0,01;55,278
"payer";-335,073;-13,779;-30,194;2545,027;-14,38;-461,898
"tellement";710,057;-0,446;-56,947;-91,645;-7,271;-92,835
"problème";-323,44;-5,694;-16,658;63,897;-2,821;147,114
"français";-88,51;61,01;-52,652;1,261;-17,096;113,842
"connaître";-41,427;-0,006;-14,851;-52,51;-5,77;210,025
"changer";-102,516;-3,063;-33,78;-9,529;-4,054;243,565
"souvenir";2155,065;-14,171;-80,827;-163,641;-16,057;-486,408
"france";-186,641;61,586;-31,337;622,268;-1,947;-53,464
"fois";-129,091;94,925;-0,275;4,957;-8,063;45,105
"commentaire";-172,71;-7,574;-36,491;-188,747;-2,116;747,66
"emji_visage_souriant_avec_une_goutte_de_sueur";100,668;4,112;-37,559;-24,028;0,032;-2,09
"arrêter";-242,973;-7,157;128,597;22,4;2,456;9,096
"seul";-157,393;-1,201;5,773;3,264;4,84;57,067
"demander";-199,534;-2,379;5,506;3,496;-4,097;101,592
"droit";-237,473;-10,689;511,642;-0,423;-3,865;3,318
"question";-211,568;-3,835;-16,908;-21,032;-2,609;384,736
"devenir";-82,613;-8,991;-31,098;68,698;5,511;17,753
"travail";-157,887;-0,801;-29,94;286,95;-8,615;0,592
"cas";-178,796;-3,09;-4,083;14,111;-4,602;109,909
"jeune";-3,426;-5,191;-58,926;-55,418;-3,253;176,875
"raison";-22,859;-6,951;-4,597;-15,821;1,501;80,714
"sentir";-85,131;-0,664;-21,129;-22,065;-0,06;219,201
"emji_visage_faisant_un_clin_d_oeil";12,712;3,068;-34,736;-7,373;-1,294;6,489
"emji_feu";1200,263;-3,672;-23,517;-102,668;-9,165;-297,572
"police";-190,767;-10,255;334,054;-8,643;-13,069;28,219
"exister";-83,813;2,764;-0,222;-0,619;-2,311;77,74
"humain";-111,731;-10,575;1,606;-31,107;79,577;131,611
"accord";-106,771;-3,982;183,219;5,252;-2,063;-0,016
"arriver";-92,325;-0,205;-8,973;0,587;-6,65;102,752
"utiliser";-147,98;352,743;9,794;17,627;-1,155;1,214
"laisser";-174,791;-2,796;0,034;-0,05;19,876;114,149
"besoin";-143,892;8,095;-6,099;38,386;10,084;26,038
"état";-192,661;-7,89;619,726;70,182;-1,486;-75,418
"animal";-28,532;-9,311;-47,977;-53,571;4078,931;-0,86
"regarder";-31,991;-6,1;-15,775;-7,471;-0,825;105,521
"guerre";-162,865;-9,058;2865,615;-53,442;-9,584;-161,756
"coup";-93,23;-3,23;-0,105;1,968;0,081;58,578
"emji_mains_en_prière";1173,405;-5,838;-38,115;-119,26;-6,198;-240,391
"travailler";-104,527;-3,952;-45,995;350,478;-11,527;-2,569
"argent";-182,577;-7,365;-8,957;1256,258;-9,885;-221,995
"ca";-61,39;0,142;-5,93;-21,727;1,253;136,716
"partir";-134,964;-5,632;-0,767;89,58;-5,033;13,612
"moment";-15,271;-5,847;0,052;-21,47;-4,016;66,839
"etc";-110,926;-2,333;-1,108;224,138;-3,059;-4,299
"riche";-156,969;-8,607;-50,142;1386,239;-10,968;-217,855
"place";-145,587;0,513;-0,339;214,543;-3,592;-1,521
"vidéo";-0,36;-7,247;-11,764;-100,379;-1,743;140,855
"plutôt";-130,011;-1,091;-5,565;6,335;-0,03;87,564
"premier";-26,048;-3,847;-0,03;4,272;-6,053;14,723
"mot";-22,348;-3,545;0,178;-105,525;-8,98;185,606
"rendre";-114,139;-5,343;23,565;10,91;2,174;13,911
"appeler";-19,312;-0,288;0,163;-50,872;-1,408;98,906
"école";-5,107;-0,681;-37,09;-48,935;-5,602;147,877
"niveau";-111,926;-6,502;-41,359;39,477;-5,463;76,999
"meilleur";95,227;-1,474;-34,878;2,617;-0,307;-34,504
"jouer";359,206;-8,554;-29,336;-24,181;-3,059;-62,305
"part";-107,577;-0,786;-0,08;12,806;-0,333;41,421
"magnifique";1566,898;-8,66;-58,548;-125,481;-5,742;-356,863
"genre";-106,655;-6,528;-5,431;-32,913;-2,955;258,351
"adorer";1345,701;-2,272;-49,133;-125,873;-2,981;-297,816
