"";"banalfreq";"X.rts_a";"X.rts_i"
"dire";217;0,3856;-0,3856
"quand";95;0,5467;-0,5467
"le";991;-1,7531;1,7531
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";438;1,1506;-1,1506
"emji_visage_qui_tire_la_langue_et_fait_un_clin_d_oeil";19;0,6119;-0,6119
"absolument";20;-0,725;0,725
"magnifique";585;0,3414;-0,3414
"emji_yeux";16;-1,6001;1,6001
"ma";122;1,4349;-1,4349
"jeunesse";30;0,89;-0,89
"respect";95;-0,3798;0,3798
"emji_visage_avec_lunettes_de_soleil";79;-0,6882;0,6882
"back";14;-0,2649;0,2649
"the";43;-1,4798;1,4798
"incroyable";125;0,6228;-0,6228
"voir";109;1,9643;-1,9643
"ça";436;1,014;-1,014
"faire";395;-1,3283;1,3283
"dimanche";15;1,4353;-1,4353
"merci";722;-1,9522;1,9522
"la";1290;1,0244;-1,0244
"top";36;0,2368;-0,2368
"juste";59;-0,5728;0,5728
"un";610;1,7352;-1,7352
"peu";49;0,4605;-0,4605
"pas";409;-1,6773;1,6773
"vous";462;-0,9279;0,9279
"meilleur";130;-0,3747;0,3747
"sur";109;0,7828;-0,7828
"emji_ok";95;0,6975;-0,6975
"emji_trinquer";21;-0,9857;0,9857
"d";440;1,939;-1,939
"les";863;1,7524;-1,7524
"emji_se_rouler_par_terre_de_rire";144;1,8298;-1,8298
"emji_ok_peau_claire";33;-0,492;0,492
"mais";312;0,3583;-0,3583
"sacré";28;0,2901;-0,2901
"et";1294;0,9572;-0,9572
"vive";105;-0,7484;0,7484
"m";103;1,4046;-1,4046
"en";530;0,4403;-0,4403
"bien";449;-0,4871;0,4871
"équipe";18;-1,8181;1,8181
"gars";11;-0,8065;0,8065
"ils";228;0,7523;-0,7523
"nous";213;0,4799;-0,4799
"rêver";17;0,4978;-0,4978
"on";435;-0,536;0,536
"offrir";11;-0,4259;0,4259
"leur";50;-0,2674;0,2674
"emji_coeurs_qui_tournent";31;-1,1555;1,1555
"anniversaire";44;1,3246;-1,3246
"encore";106;1,82;-1,82
"my";33;1,5427;-1,5427
"nos";76;0,6242;-0,6242
"dieu";69;1,9876;-1,9876
"t";70;0,3267;-0,3267
"bon";333;-0,3387;0,3387
"rester";31;-1,1555;1,1555
"après";32;0,4292;-0,4292
"ah";68;0,7297;-0,7297
"surtout";40;-1,754;1,754
"emji_soleil";37;-0,3438;0,3438
"bois";14;0,3405;-0,3405
"vos";46;0,2412;-0,2412
"commentaire";23;-1,5937;1,5937
"emji_visage_rieur";57;0,9983;-0,9983
"ancien";28;1,7816;-1,7816
"trésor";16;1,531;-1,531
"rts";34;-0,2835;0,2835
"chose";38;-0,4795;0,4795
"devoir";62;0,3804;-0,3804
"saut";10;0,4171;-0,4171
"passer";37;1,3179;-1,3179
"extraordinaire";51;1,758;-1,758
"superbe";37;0,2621;-0,2621
"falloir";74;-0,8842;0,8842
"regarder";30;1,9468;-1,9468
"puch";13;1,2439;-1,2439
"tant";49;-0,5999;0,5999
"emji_pouce_vers_le_haut_peau_moyennement_claire";55;-1,1983;1,1983
"lausanne";17;0,253;-0,253
"oublier";13;-1,0212;1,0212
"ses";61;-0,6722;0,6722
"for";19;-1,6618;1,6618
"ever";12;0,2469;-0,2469
"notre";79;0,3029;-0,3029
"y";239;1,6044;-1,6044
"du";293;-0,7773;0,7773
"frisson";15;0,7634;-0,7634
"ha";10;0,9568;-0,9568
"plein";44;0,314;-0,314
"perle";13;-0,6096;0,6096
"s";132;0,2648;-0,2648
"super";92;0,777;-0,777
"excellent";69;-1,3684;1,3684
"fantastique";25;-0,2455;0,2455
"clairvoyance";11;0,483;-0,483
"tout";322;-1,9736;1,9736
"simplement";15;-0,2266;0,2266
"grand";147;-0,5206;0,5206
"légende";12;0,2469;-0,2469
"roi";16;0,2166;-0,2166
"retour";13;0,2924;-0,2924
"apprendre";12;1,1482;-1,1482
"vivre";41;1,5798;-1,5798
"avec";306;0,8046;-0,8046
"oh";150;1,3677;-1,3677
"ne";317;-1,428;1,428
"couper";12;-0,7003;0,7003
"reconnaître";12;-1,1577;1,1577
"emji_coeur_noir";27;-1,9977;1,9977
"50";11;1,0525;-1,0525
"jour";44;0,4731;-0,4731
"même";137;1,7963;-1,7963
"emji_couronne";37;0,4169;-0,4169
"savoir";97;0,2654;-0,2654
"jamais";62;-1,2842;1,2842
"ouiii";16;-0,7101;0,7101
"fête";49;0,6568;-0,6568
"national";13;0,6202;-0,6202
"tous";158;-1,119;1,119
"perdre";16;-0,7101;0,7101
"aujourd_hui";61;1,934;-1,934
"pur";11;1,0525;-1,0525
"plaisir";44;0,4731;-0,4731
"toutes";89;-1,4311;1,4311
"histoire";21;0,42;-0,42
"revenir";19;1,0634;-1,0634
"entre";17;-0,355;0,355
"eux";48;-0,8584;0,8584
"toujours";140;0,8718;-0,8718
"émouvoir";10;0,9568;-0,9568
"rire";36;0,5901;-0,5901
"beaucoup";139;0,6999;-0,6999
"emji_papillon";22;1,2974;-1,2974
"emji_coeur_bleu";54;-1,8761;1,8761
"rien";73;0,395;-0,395
"au";201;-0,8133;0,8133
"monde";62;-1,5581;1,5581
"emji_fondue";13;0,6202;-0,6202
"emji_visage_souriant_avec_une_larme";81;-0,7831;0,7831
"emji_miam";19;0,3325;-0,3325
"emji_visage_souriant_avec_de_grands_yeux";58;1,3628;-1,3628
"george";12;1,1482;-1,1482
"emji_gâteau_d";10;-0,2095;0,2095
"chapeau";26;1,054;-1,054
"artiste";12;-0,7003;0,7003
"emji_coeur_vert";51;-0,5228;0,5228
"we";23;1,3767;-1,3767
"lover";13;0,6202;-0,6202
"you";17;-1,449;1,449
"magique";48;0,4292;-0,4292
"sa";125;-0,8487;0,8487
"autre";37;0,6333;-0,6333
"epoque";10;0,9568;-0,9568
"déjà";55;-0,2701;0,2701
"émission";16;1,531;-1,531
"régal";11;0,2041;-0,2041
"extra";10;0,9568;-0,9568
"penser";51;1,005;-1,005
"ho";10;-1,5044;1,5044
"chou";87;1,5252;-1,5252
"mec";12;0,2469;-0,2469
"plus";276;-0,7354;0,7354
"journaliste";14;1,3396;-1,3396
"emji_ok_peau_légèrement_mate";15;-1,7702;1,7702
"intéressant";28;0,4874;-0,4874
"tard";22;0,4664;-0,4664
"moment";50;0,4929;-0,4929
"temps";80;0,9608;-0,9608
"emji_visage_souriant_avec_une_goutte_de_sueur";82;1,9401;-1,9401
"p";13;-1,0212;1,0212
"reposer";56;-1,1366;1,1366
"ami";36;0,3831;-0,3831
"content";14;-1,3801;1,3801
"joli";67;1,4926;-1,4926
"tendresse";12;1,1482;-1,1482
"emji_visage_implorant";33;-0,492;0,492
"merveilleux";134;1,9365;-1,9365
"toute";123;1,0442;-1,0442
"bonheur";75;0,9965;-0,9965
"personnage";21;1,2187;-1,2187
"cadeau";15;-0,2266;0,2266
"charme";25;0,9875;-0,9875
"premier";21;0,2244;-0,2244
"sourire";33;0,4675;-0,4675
"sublime";23;0,5145;-0,5145
"oui";170;-0,8888;0,8888
"début";10;0,4171;-0,4171
"tomber";11;-0,4259;0,4259
"emji_étoile_brillante";88;-0,6973;0,6973
"emji_coeur_jaune";30;-0,9143;0,9143
"croire";40;-1,754;1,754
"emji_visage_très_souriant_aux_yeux_rieurs";60;0,6461;-0,6461
"40";10;0,4171;-0,4171
"or";34;-0,4503;0,4503
"emji_coeur_violet";64;-0,5619;0,5619
"dommage";33;-0,72;0,72
"emji_cent_points";37;-0,5207;0,5207
"emji_visage_soulagé";29;1,864;-1,864
"témoignage";98;0,3751;-0,3751
"bel";22;0,4664;-0,4664
