"";"banalfreq";"X.rts_a";"X.rts_i"
"tu";452;1,6673;-1,6673
"du";1078;0,4625;-0,4625
"m";63;0,3797;-0,3797
"vrai";142;1,0172;-1,0172
"emji_drapeau_états";14;0,2063;-0,2063
"unir";85;0,4626;-0,4626
"us";16;0,5343;-0,5343
"ce";1205;-0,5677;0,5677
"flic";35;0,6865;-0,6865
"d";1868;1,4855;-1,4855
"indignation";17;0,9934;-0,9934
"sur";567;-0,6481;0,6481
"un";1881;-0,9298;0,9298
"élire";46;-0,7536;0,7536
"ton";80;1,3837;-1,3837
"en";2107;1,0922;-1,0922
"plan";65;-0,4466;0,4466
"honteux";41;-0,3236;0,3236
"quand";364;-0,4531;0,4531
"le";3474;-1,1733;1,1733
"monde";237;0,7604;-0,7604
"innocent";80;0,7754;-0,7754
"et";3969;-0,9524;0,9524
"qu";1079;-0,3351;0,3351
"y";695;-0,3011;0,3011
"pas";2679;-0,3336;0,3336
"réseau";24;0,3139;-0,3139
"social";28;-0,3656;0,3656
"la";4376;0,4739;-0,4739
"violence";125;-1,5458;1,5458
"peu";120;0,3818;-0,3818
"brutal";14;1,2006;-1,2006
"comme";535;1,2812;-1,2812
"sembler";41;0,2796;-0,2796
"une";1379;0,3863;-0,3863
"dégénérer";11;0,2722;-0,2722
"humain";99;0,4603;-0,4603
"si";517;-1,003;1,003
"mal";68;-0,2871;0,2871
"honnête";18;1,5371;-1,5371
"lui";89;1,8012;-1,8012
"même";432;0,2783;-0,2783
"quelle";99;0,8935;-0,8935
"tes";33;0,4166;-0,4166
"soldat";62;-0,2245;0,2245
"donc";332;-0,8367;0,8367
"légal";46;-0,2027;0,2027
"mais";886;0,6856;-0,6856
"illégal";93;-0,9133;0,9133
"emji_visage_en_pleine_réflexion";47;0,4107;-0,4107
"adorer";10;1,5957;-1,5957
"gare";11;0,2722;-0,2722
"à";2110;0,8268;-0,8268
"importer";55;-0,5577;0,5577
"personne";361;-0,4342;0,4342
"qui";1896;0,3137;-0,3137
"tenter";11;0,2722;-0,2722
"agresser";13;0,6662;-0,6662
"lausanne";15;1,8181;-1,8181
"que";2037;-1,302;1,302
"spray";13;0,2257;-0,2257
"poivre";12;0,2475;-0,2475
"dans";898;1,159;-1,159
"nous";342;0,9311;-0,9311
"cacher";65;0,8397;-0,8397
"ta";42;0,8279;-0,8279
"rôle";23;-0,2699;0,2699
"on";1204;0,3807;-0,3807
"vouloir";309;0,2937;-0,2937
"les";4025;-0,3601;0,3601
"devenir";57;-0,335;0,335
"toujours";189;-0,9719;0,9719
"quant";16;1,0564;-1,0564
"aux";336;1,1606;-1,1606
"s";525;1,1094;-1,1094
"opposer";31;-0,1843;0,1843
"elles";66;-0,2655;0,2655
"devant";46;0,7123;-0,7123
"leurs";214;-0,3751;0,3751
"porte";24;0,6661;-0,6661
"car";164;-0,6537;0,6537
"jugement";23;-0,2699;0,2699
"totalement";21;0,3806;-0,3806
"cela";159;0,2982;-0,2982
"moins";133;0,5517;-0,5517
"plus";778;-0,6826;0,6826
"paix";337;0,9878;-0,9878
"presque";21;0,3806;-0,3806
"honte";52;0,57;-0,57
"emprisonner";18;0,4649;-0,4649
"longtemps";30;0,8573;-0,8573
"homme";76;1,5169;-1,5169
"engager";11;0,2722;-0,2722
"résistance";18;-0,1823;0,1823
"battre";18;0,4649;-0,4649
"nazi";28;0,9393;-0,9393
"devoir";333;-1,0199;1,0199
"comment";122;1,7722;-1,7722
"oser";22;0,7434;-0,7434
"libérer";96;-0,4319;0,4319
"pouvoir";548;-0,5327;0,5327
"excuser";24;0,3139;-0,3139
"quelques";36;0,6572;-0,6572
"vol";13;0,6662;-0,6662
"voleur";11;1,4792;-1,4792
"justice";156;-0,5629;0,5629
"avant";153;1,5466;-1,5466
"après";149;-0,9159;0,9159
"son";230;0,687;-0,687
"travail";50;-0,8462;0,8462
"fois";106;-0,814;0,814
"mon";86;1,2058;-1,2058
"groupe";103;1,3618;-1,3618
"continuer";157;-1,0369;1,0369
"otan";13;0,6662;-0,6662
"respecter";141;-1,082;1,082
"ses";169;-0,27;0,27
"engagement";20;-0,2163;0,2163
"vers";14;0,2063;-0,2063
"éviter";23;0,3345;-0,3345
"effet";11;0,7806;-0,7806
"ukrainien";44;0,7678;-0,7678
"savoir";263;0,9276;-0,9276
"place";66;-0,2655;0,2655
"tuer";232;1,1863;-1,1863
"croire";144;0,9804;-0,9804
"ils";1011;-0,7509;0,7509
"notre";147;1,1578;-1,1578
"assassiner";52;0,57;-0,57
"par";813;-0,7023;0,7023
"gauche";71;-0,5375;0,5375
"malheureusement";44;-0,708;0,708
"emji_visage_avec_un_léger_sourire";22;1,2505;-1,2505
"reprise";15;-0,1347;0,1347
"bizarrement";24;0,3139;-0,3139
"depuis";258;-0,3633;0,3633
"accepter";36;-0,5312;0,5312
"libre";31;0,4612;-0,4612
"histoire";89;0,8458;-0,8458
"trouver";79;0,3578;-0,3578
"détruire";76;-0,3805;0,3805
"occident";31;1,8046;-1,8046
"tous";311;-0,4098;0,4098
"ces";448;-0,7085;0,7085
"ou";512;1,1058;-1,1058
"laisser";84;-1,1353;1,1353
"se";689;0,9754;-0,9754
"courage";27;-0,3459;0,3459
"face";62;-0,4034;0,4034
"toutes";124;1,1345;-1,1345
"rien";337;-0,4798;0,4798
"raison";79;0,3578;-0,3578
"terreur";24;0,3139;-0,3139
"monsieur";33;1,6767;-1,6767
"seul";136;0,3666;-0,3666
"mot";64;-0,2446;0,2446
"oui";315;-0,2636;0,2636
"citoyen";53;-0,9169;0,9169
"entier";35;-0,2366;0,2366
"d_abord";10;0,3003;-0,3003
"regarder";37;0,6292;-0,6292
"voir";362;-0,545;0,545
"mort";170;0,4505;-0,4505
"tant";90;-0,3631;0,3631
"comprendre";123;-1,504;1,504
"au";705;1,184;-1,184
"commettre";133;-1,2872;1,2872
"erreur";11;0,7806;-0,7806
"bombardement";44;-0,3704;0,3704
"difficile";15;-0,1347;0,1347
"société";29;0,5112;-0,5112
"elle";321;1,3683;-1,3683
"horreur";28;0,5385;-0,5385
"grâce";19;0,4345;-0,4345
"suisse";452;0,905;-0,905
"allemagne";10;1,5957;-1,5957
