"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8"
"suisse";0;1;1;1;1;1;0,276;1
"émission";0;1;1;1;1;1;1;1
"petit";1;1;0,571;0;1;0,511;1;0,497
"année";0,014;0,486;1;1;1;1;1;0
"retrouver";0;1;1;1;1;1;1;1
"miracle";0;1;1;1;1;1;1;1
"archive";0;1;1;1;1;1;1;1
"jeune";0,003;1;0,102;1;0,625;1;0,599;1
"rts";0;1;1;1;1;1;1;1
"vie";0,72;1;1;1;1;0;1;0,075
"grand";1;1;1;0,712;0,371;1;0,711;0,323
"temps";1;1;1;0,722;0,057;0,459;1;0,472
"monde";0,546;1;1;1;0,932;0;1;1
"genève";0,864;1;1;0,532;1;0,003;1;0,393
"diffuser";0;1;1;1;1;1;1;1
"fête";0,806;0,399;1;0;1;1;0,38;1
"bio";0;1;1;1;1;1;1;1
"aimer";0,525;1;1;1;0,638;1;1;0
"samedi";0;1;1;1;1;1;1;1
"lien";0;1;1;1;1;1;1;1
"heure";1;1;0;0,954;0,038;1;1;1
"clip";0;1;1;1;1;1;1;1
"aller";1;1;0,004;0,525;1;0,001;1;1
"romand";0;1;1;0,525;1;1;0,765;1
"premier";0;1;1;1;1;1;1;1
"femme";0,525;1;1;1;0,911;1;0,082;0,045
"enfant";1;1;0,001;1;1;1;0,009;1
"18h45";0;1;1;1;1;1;1;1
"passer";1;1;1;0,002;1;0,857;1;1
"homme";1;0,839;0,95;0,562;1;1;0,594;0,023
"beau";1;0,003;1;0,781;1;1;0;1
"rencontre";1;1;1;1;0;0,02;1;0,9
"amour";1;1;1;1;1;1;1;0
"prendre";0,418;1;1;0,474;0;0,256;1;1
"jour";1;0,892;1;0,021;1;1;0,251;1
"souvenir";0;0,58;1;1;1;1;1;1
"question";1;1;0;1;1;1;1;0,838
"occasion";0,593;0,13;1;1;0,195;0,988;1;1
"lausanne";0,942;1;1;0;1;1;1;1
"partir";0,044;1;0,086;0,971;1;1;0,615;1
"télévision";0;1;1;1;1;1;0,768;1
"suivre";0,039;1;1;0,012;1;1;1;1
"noël";1;1;0,016;1;0;1;1;1
"trouver";1;1;0;1;0,506;1;0,335;1
"raconter";0;1;1;1;1;1;1;1
"nombreux";0,23;0,942;0,019;0,697;1;1;1;0,8
"jeu";1;1;1;1;0,204;0,001;0,42;0,907
"fin";1;0,358;0,063;1;1;0,864;1;0,728
"âge";1;1;0,013;1;0;1;1;1
"vacance";1;0;1;1;1;1;1;1
"journée";1;1;1;1;0,001;1;0;1
"ski";1;0;1;1;1;1;1;1
"public";0,277;1;0,673;0,039;0,195;1;0,768;1
"jean";0;1;1;1;1;1;1;1
"découvrir";0;1;1;1;1;1;1;1
"vivre";0,116;1;1;1;1;0;1;1
"vaudois";0,868;1;1;0;1;1;0,065;1
"mode";1;0,673;1;1;1;1;1;0
"connaître";0,713;1;0,88;0,187;1;1;0,177;1
"école";1;0,043;0;1;1;1;1;0,985
"voiture";1;1;1;0,003;1;0,01;1;1
"voir";1;1;0,734;1;0,047;1;0,116;0,907
"soleil";1;0,007;1;1;1;1;1;0
"pays";0,006;1;1;0,971;1;1;1;1
"devenir";0,15;1;1;1;1;0;0,594;1
"rue";1;1;1;0,187;1;1;1;0
"passion";0;1;1;1;1;1;1;1
"musique";1;0,06;1;1;0;1;1;1
"histoire";0;1;1;0,198;1;1;1;1
"festival";0,054;1;1;0,98;0,836;0,845;1;1
"proposer";0,402;1;0,046;0,657;1;1;1;1
"lancer";1;0,071;1;1;0,784;0,024;0,05;1
"évoquer";0,132;1;1;0,249;1;0,135;1;1
"venir";1;1;1;0;1;1;1;0,196
"réponse";1;1;0;1;1;1;1;1
"place";1;0,887;0,622;0,031;0,507;1;1;1
"danse";1;1;0,903;1;0;1;1;1
"voyage";0,099;1;1;1;1;0,025;1;1
"travail";0,587;0,06;0,086;1;1;1;0,615;1
"secret";1;1;1;0;1;1;1;0,827
"prêt";1;1;1;0,063;0,023;1;1;0,743
"plutôt";1;1;1;1;1;0,005;0,902;0,374
"partager";0,4;1;1;0,051;1;0,608;0,46;1
"parler";0,067;1;0,987;1;1;1;0;1
"métier";0;0,887;0,164;1;1;1;1;1
"mettre";0,477;1;1;0,087;0,033;1;0,902;1
"ville";0,774;1;1;0,576;0,097;0,393;1;1
"présenter";0,001;1;1;0,306;1;1;0,09;1
"meilleur";0,96;1;0,038;0,785;0,152;1;1;1
"genevois";1;1;0,659;1;1;0,172;0;1
"eau";1;0,023;1;0,087;1;0,005;1;1
"début";0,044;1;1;1;1;1;0,615;0,027
"cinéma";0,044;1;1;0,002;0,769;1;1;1
"valoir";1;0,555;1;0,657;1;1;0,008;1
"retour";1;1;1;0,657;0;1;0,834;1
"plaisir";1;1;0,583;1;1;1;1;0
"mot";1;1;1;0,416;1;1;0,002;1
"matin";1;1;0,8;0,011;0,709;1;0,602;1
"laisser";1;1;1;0,001;1;1;1;0,016
"français";0,103;1;1;1;0,152;1;0;1
"fois";0,002;1;1;0,044;1;1;1;1
"famille";0,864;0,016;1;1;1;1;1;0,088
"donner";0,864;1;1;1;1;1;1;0
"complet";0;1;1;1;1;1;1;1
"chose";1;1;1;1;1;0;0,034;1
"champion";1;1;1;1;1;0;1;1
"blanc";1;1;0,506;1;1;1;1;0
"avis";1;1;0;1;1;1;1;0,827
"équipe";1;1;0,041;1;0,244;1;0,832;1
"tour";0,774;1;0,031;0,006;1;1;1;1
"rire";1;1;0,72;1;0;1;1;1
"neige";1;0;0,288;1;1;1;1;0,957
"armée";0,96;0,26;0,038;1;1;0,608;1;0,859
"tête";1;1;1;1;1;1;1;0
"radio";0,369;1;0,931;1;1;1;0;1
"propre";0,629;0,206;1;0,523;1;1;0,329;1
"nouveau";1;0,26;0,038;1;1;1;0;1
"ambiance";1;0,808;1;0;1;1;1;1
"vin";1;0,887;1;0,199;1;1;0;1
"village";0,009;1;1;1;1;1;1;0,005
"sport";0,493;0,073;1;1;0,023;1;1;1
