"";"X.rts_a";"X.rts_i"
"et";23,08;23,34
"ils";4,63;4,91
"gagner";0,69;0,73
"rien";1,69;1,94
"emji_visage_en_pleine_réflexion";0,35;0,37
"emji_visage_souriant_avec_yeux_rieurs";0,52;0,11
"c";15,86;12,41
"être";40,87;36,25
"la";26,08;24,88
"suisse";7,41;6,94
"les";23,52;27,07
"français";1,24;0,8
"avoir";26,42;19,51
"plus";6,91;8,71
"de";38,54;39,15
"budget";0,08;0,3
"y";5,38;4,34
"pour";11,35;13,43
"tes";0,18;0,24
"20";0,44;0,37
"euro";0,74;0,08
"bravo";0,44;0,34
"à";16,75;15,65
"nos";1,11;1,46
"ami";0,18;0,11
"qui";9,16;11,78
"contrairement";0,07;0,1
"belge";0,06;0,02
"une";8,54;9,02
"très";1,89;1,51
"beau";0,93;0,46
"mentalité";0,05;0,03
"dans";7,55;6,55
"victoire";0,12;0,07
"comme";3,35;3,33
"bon";2,24;1,61
"chance";0,19;0,25
"le";20,41;19,65
"rester";0,95;1,13
"compétition";0,07;0,05
"ça";7,09;5,88
"ne";11,47;14,26
"nous";3,36;2,71
"rapporter";0,12;0,12
"pas";14,43;16,43
"un";12,02;11,83
"centime";0,15;0,06
"vous";4,78;5,33
"payer";1,83;3,25
"votre";0,64;0,95
"loyer";0,12;0,45
"ni";0,6;0,53
"vos";0,52;0,54
"facture";0,07;0,16
"chaque";0,7;0,78
"mois";0,69;0,72
"il";9,87;8,58
"ce";6,69;7,07
"sport";0,17;0,1
"ci";0,05;0,05
"loin";0,37;0,24
"d";10,34;12,13
"chose";0,8;0,78
"nécessaire";0,14;0,22
"monde";1,36;1,82
"oser";0,1;0,1
"dire";3,72;2,69
"devoir";1,87;2,27
"viser";0,04;0,11
"couper";0,4;0,53
"ya";0,08;0,05
"t";1,2;1,09
"des";14,55;16,61
"origine";0,11;0,12
"ds";0,1;0,02
"cette";2,11;1,7
"équipe";0,68;0,63
"j";5,45;2,5
"espérer";0,13;0,23
"que";11,77;14,3
"là";1,01;0,99
"europe";0,29;0,52
"emji_applaudissements";0,86;0,66
"hop";0,06;0,05
"emji_drapeau_suisse";0,38;0,3
"on";9,44;10,26
"leur";1,89;2,38
"croiser";0,05;0,02
"doigt";0,1;0,06
"depuis";1,26;0,9
"suède";0,02;0,05
"ben";0,32;0,24
"qu";6,11;6,11
"elle";2,67;1,18
"chez";1,13;0,72
"pourquoi";0,74;0,99
"venir";1,05;0,93
"puisqu";0,06;0,06
"aimer";0,91;0,32
"peut_être";0,43;0,34
"ou";3,1;3,89
"alors";1,52;1,78
"se";3,28;3,89
"payant";0,1;0,05
"l";15,14;14,91
"avion";0,51;0,21
"femme";0,64;0,5
"fier";0,06;0,05
"question";0,29;0,56
"rue";0,29;0,18
"police";0,27;0,45
"voiture";1,32;0,69
"amande";0,05;0,03
"100";0,29;0,43
"oui";2,27;1,78
"aussi";2,36;2,23
"argent";1,1;1,67
"vrai";0,95;0,8
"apercevoir";0,07;0,02
"min";0,11;0,04
"2";0,93;0,94
"34";0,01;0,03
"emji_visage_envoyant_un_bisou";0,2;0,04
"toi";0,36;0,53
"meilleur";0,58;0,53
"erreur";0,24;0,19
"du";7,63;7,07
"passer";1,45;1,19
"grave";0,08;0,15
"pareil";0,21;0,27
"france";2,42;1,47
"moi";1,63;0,85
"avec";4,94;4,12
"tout";4,37;3,97
"partout";0,35;0,24
"partir";0,49;1
"moitié";0,26;0,18
"jusqu_à";0,24;0,23
"arrière";0,13;0,07
"part";0,49;0,57
"en";19,14;16,19
"car";1,02;1,32
"malheureusement";0,35;0,25
"je";9,15;6,42
"me";2,13;1,06
"faire";8,65;8,27
"voler";0,31;0,23
"1er";0,07;0,06
"acheter";1,02;0,62
"pot";0,17;0,06
"italie";0,23;0,11
"trop";1,11;1,04
"évidemment";0,19;0,2
"groupe";0,1;0,16
"travailleur";0,1;0,23
"social";0,32;0,77
"organiser";0,11;0,08
"deux";0,75;0,64
"jour";0,86;0,82
"tous";1,67;1,71
"jeune";0,57;0,25
"sur";4,12;4,97
"piste";0,15;0,1
"réaliser";0,08;0,09
"vaud";0,4;0,23
"média";0,04;0,13
"politicien";0,1;0,21
"urgence";0,1;0,07
"proposer";0,18;0,24
"aux";1,55;2,45
"espace";0,29;0,17
"entièrement";0,14;0,07
"ces";1,89;2,34
"conduire";0,25;0,13
"genève";1,5;0,96
"début";0,21;0,11
"70";0,37;0,06
"étude";0,2;0,4
"comparer";0,14;0,17
"lausanne";0,69;0,48
"mais";6;6,74
"quand";2,57;2,32
"même";2,99;3,04
"besoin";0,54;0,78
"stop";0,12;0,06
"manière";0,06;0,26
"apprécier";0,02;0,03
"pays";1,27;2,37
"ses";1;0,85
