"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8"
"emji_visage_riant_aux_larmes";-409,447;21671,151;-655,529;-152,997;-896,219;-1139,581;-256,586;-1193,072
"aller";-628,71;-196,713;1,01;0,595;28,436;321,497;-10,782;199,888
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";13657,459;-446,591;-280,293;-56,1;-285,051;-572,897;-110,964;-595,667
"emji_coeur_rouge";11973,532;-542,298;-241,921;-5,922;-172,959;-484,955;-80,085;-599,675
"suisse";-408,697;-238,611;3,938;-61,59;-164,189;-118,381;-53,385;3701,784
"voir";-506,152;-245,068;-5,395;3,07;33,088;980,837;0,026;0
"emji_applaudissements";5032,176;-259,434;-81,4;-18,367;-99,69;-180,025;-32,322;-202,385
"parler";-294,817;-177,876;20,799;-3,998;-19,219;720,928;16,247;0,975
"emji_se_rouler_par_terre_de_rire";-71,368;3176,303;-83,592;-23,974;-153,431;-176,048;-33,316;-144,531
"gens";-335,873;-281,633;-2,889;1,829;6,713;886,552;-24,949;16,283
"monde";-247,032;-290,117;4,5;-5,304;39,826;335,126;1,009;32,319
"femme";-125,024;-302,464;-57,211;-12,061;-0,001;-205,572;14645,058;-155,244
"emji_visage_qui_pleure";485,884;-102,999;-19,483;5,997;40,097;-40,182;-0,375;-42,369
"enfant";-195,155;-284,497;12,825;-9,786;2630,507;-109,362;-0,441;-56,226
"beau";993,369;-134,264;-105,456;0,134;56,689;-32,069;-0,801;-102,35
"époque";2,114;-21,315;-126,65;-11,753;1663,007;-113,583;-8,051;-137,223
"prendre";-261;-94,04;-1,098;11,126;2,733;21,146;2,693;274,324
"pays";-219,943;-284,833;576,244;-21,698;-22,272;-0,413;-2,652;393,982
"vie";-66,033;-204,52;-74,094;-0,033;967,752;-1,21;0,846;0,181
"penser";-205,619;-58,244;-34,203;1,818;0,246;593,196;9,895;-5,259
"comprendre";-150,099;-142,68;-13,887;0,029;-21,551;897,102;17,91;-6,502
"homme";-81,593;-223,354;-46,552;-0,725;-8,121;-146,607;12777,866;-196,62
"temps";-145,15;-143,968;-39,237;-2,002;761,121;2,972;0;1,54
"aimer";-3,062;137,045;-58,875;68,9;26,521;-13,322;4,734;-92,031
"chose";-206,511;-159,837;-8,347;-1,315;18,611;725,376;0;-8,779
"passer";-204,479;-115,596;0,689;-7,546;300,14;7,29;-9,386;50,782
"mettre";-234,12;-132,023;-0,013;-0,101;17,771;23,721;11,745;219,56
"petit";-42,991;-13,356;-48,416;52,329;483,277;-24,462;-15,156;-1,107
"année";-98,898;-51,835;-43,61;-1,783;730,251;-102,2;-9,747;76,56
"vrai";-55,906;-65,763;-0,282;-0,8;-0,295;68,255;266,39;-0,329
"emji_feu";3654,216;-152,648;-47,986;-15,376;-68,967;-162,848;-27,951;-157,606
"emji_mains_levées";3920,739;-161,941;-71,451;-23,404;-93,964;-140,331;-22,018;-159,616
"grand";-32,193;-103,575;-24,741;0,892;42,064;-0,227;2,078;150,667
"vraiment";-80,818;-111,521;-19,069;-0,406;9,946;380,353;0,562;-0,718
"jour";-142,186;-94,249;-13,473;23,353;908,067;-45,583;-0,869;1,543
"emji_visage_souriant_avec_une_goutte_de_sueur";-69,309;2217,657;-79,263;-3,883;-76,887;-107,563;-15,911;-128,98
"venir";-173,55;-43,528;0,03;18,978;6,815;85,366;-2,038;31,523
"trouver";-158,223;-78,953;-18,531;0,135;20,977;192,085;5,715;14,624
"emji_visage_souriant_avec_coeurs";3519,53;-137,787;-81,342;-3;-52,332;-149,683;-27,837;-168,023
"tellement";204,701;-22,068;-42,484;-0,123;25,559;-0,182;0,183;-58,117
"donner";-161,539;-160,08;-2,459;82,786;50,712;157,44;-0,114;7,304
"vivre";-128,338;-148,22;-10,567;1,192;419,448;1,613;3,081;12,575
"rester";-147,29;-121,766;-1,851;7,106;28,862;27,315;7,306;105,544
"payer";-190,245;-216,742;-15,276;-20,866;-111,784;-177,672;-15,953;3157,487
"problème";-185,891;-161,895;-6,149;1,264;-2,098;73,846;28,236;259,676
"français";-107,645;10,116;-54,238;-25,191;-30,782;203,391;-19,006;40,354
"connaître";-134,074;-15,455;-7,396;-3,487;287,671;53,664;-0,026;-30,401
