"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"emji_visage_riant_aux_larmes";-677,753;9987,818;-262,724;-69,965;-89,912;-405,139;-1431,385
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";6927,606;-559,629;-121,447;-27,242;-60,194;-313,107;-817,112
"emji_coeur_rouge";6333,149;-640,215;-66,247;-38,66;-54,89;-286,118;-659,786
"emji_applaudissements";2421,47;-251,768;-38,043;-10,544;-23,773;-102,052;-239,826
"voir";-291,784;-155,75;5,298;-6,253;0,419;76,394;372,27
"emji_se_rouler_par_terre_de_rire";-107,685;1363,654;-38,092;-9,219;-1,79;-62,977;-184,142
"époque";-22,358;-193,399;-37,759;0,357;-0,853;-2,642;461,247
"aller";-328,517;-44,19;9,06;-6,868;0,426;403,692;32,464
"beau";767,531;-223,873;-9,066;-10,861;-20,86;-29,97;-6,12
"aimer";-36,794;8,293;11,255;-7,568;-16,748;-12,419;37,918
"suisse";-143,708;340,793;-19,461;-7,206;-6,268;36,516;-46,509
"femme";-84,162;-231,667;-32,907;-29,921;-10,158;-26,715;1032,414
"emji_visage_qui_pleure";74,072;-107,153;1,225;0,077;-2,461;-2,58;8,408
"parler";-154,056;-31,617;-6,039;-17,013;10,797;-28,479;484,68
"emji_visage_souriant_avec_coeurs";1856,9;-175,371;-19,86;-2,195;-17,02;-91,244;-214,042
"enfant";-112,209;-207,947;-28,968;17,577;-12,851;-28,066;856,382
"homme";-61,844;-230,411;-12,189;-25,61;-12,172;-68,103;1032,243
"vie";-37,466;-190,572;-0,198;-12,872;-12,64;-9,083;535,643
"souvenir";634,752;-125,833;-31,464;75,381;-5,06;0,637;-150,738
"petit";-42,652;-20,151;29,688;-0,128;-0,317;0,337;48,598
"gens";-186,198;-138,528;7,247;-20,869;9,454;0,923;457,018
"emji_feu";1537,74;-148,695;-31,509;-14,44;-13,985;-43,396;-172,932
"année";-83,799;-81,999;-4,192;25,158;-5,082;204,633;27,988
"emji_visage_souriant_avec_une_goutte_de_sueur";-103,907;745,763;-9,346;-3,216;-2,361;-29,931;-78,434
"temps";-101,264;-125,933;-5,136;0,118;-7,707;23,146;304,802
"tellement";162,288;-65,226;-3,209;0,224;-9,266;-30,16;4,403
"emji_mains_levées";1572,225;-141,514;-34,119;-13,958;-11,781;-72,965;-151,148
"penser";-150,04;-17,909;1,498;-12,399;0,176;-6,306;297,104
"monde";-129,987;-146,463;-2,157;-2,534;-0,183;2,111;465,15
"emji_mains_en_prière";1219,249;-152,025;-12,984;-11,124;-10,762;-52,323;-101,034
"comprendre";-80,159;-76,849;0;-6,265;-0,231;-34,789;469,633
"vrai";-16,498;-39,271;-0,61;-4,924;-0,74;-2,429;145,338
"chose";-148,135;-81,805;-0,129;-2,944;-2,203;-5,115;492,307
"grand";-11,143;-52,695;-1,979;-6,549;-7,009;4,759;109,059
"passer";-122,093;-76,384;-4,072;8,456;-2,059;250,857;35,465
"français";-87,532;203,815;-30,973;-7,318;6,017;-5,991;0,051
"prendre";-142,906;-15,579;15,489;-0,341;-0,109;130,696;13,089
"connaître";-112,117;-28,483;-9,65;52,678;5,525;-0,017;159,847
"jour";-106,558;-65,089;2,787;18,453;-4,704;389,941;-0,268
"adorer";243,336;-4,827;-2,306;9,129;-8,774;-31,552;-46,343
"vraiment";-34,051;-65,789;0,362;-0,058;-6,041;-2,002;205,276
"emji_visage_faisant_un_clin_d_oeil";-73,307;39,72;-4,828;0;0;0,577;5,913
"changer";-100,897;-80,658;-2,329;-0,723;103,299;-0,542;237,386
"vivre";-84,253;-84,375;-0,002;-4,064;-10,243;0;339,128
"trouver";-99,632;-35,149;2,695;-1,074;-0,356;5,452;149,277
"jeune";-61,533;-108,155;-18,974;-2,812;0,002;-0,269;389,93
"venir";-116,281;-1,416;35,326;-5,957;0,659;112,248;-0,003
"emji_visage_avec_bouche_ouverte";67,434;-6,266;0,013;0,142;-7,042;-4,3;-7,357
"mettre";-122,243;-48,726;4,581;4,096;0,22;229,592;5,812
"magnifique";1345,021;-153,085;-21,838;-9,24;-12,628;-57,775;-115,597
"donner";-78,93;-74,868;96,235;0,028;-0,048;10,451;67,942
"vidéo";-57,172;-42,674;-5,327;-1,46;-0,673;10,547;145,906
"france";-125,575;81,28;-0,411;0;11,103;13,265;-3,552
"emji_visage_qui_pleure_à_chaudes_larmes";-16,441;282,369;-1,076;-5,59;-1,131;-23,275;-38,864
"emji_pouce_vers_le_haut";696,653;-56,597;-10,608;-2,111;-6,09;-25,449;-93,718
"raison";2,14;-91,021;8,629;-13,796;0,905;-7,703;82,289
"animal";-49,198;-126,496;4626,969;-12,727;-11,27;-57,799;-106,496
"exister";-72,806;-47,425;7,577;0,001;5,158;-0,729;152,998
"rester";-81,042;-36,209;16,883;-6,395;6,564;37,594;44,222
"jouer";0,591;-76,698;-21,558;3324,327;-7,88;-7,833;-59,999
"devenir";-50,898;-58,208;1,979;-4,968;0,033;11,204;115,087
"seul";-98,741;-50,185;33,028;28,429;-0,414;0,041;110,591
"fois";-78,601;-0,088;-2,294;-0,004;-4,488;70,588;9,822
"commentaire";-92,322;-40,845;-3,048;-5,826;3,482;-43,075;427,467
"accent";-3,079;633,423;-27,196;-10,133;-10,733;-54,095;-115,611
"emji_visage_souriant_avec_yeux_rieurs";104,393;-27,079;-9,177;0,375;-3,056;0,592;-9,102
"demander";-95,971;-42,769;-1,063;-1,835;0,061;23,048;141,538
"question";-96,785;-81,948;-2,836;-2,801;0,291;-18,565;470,994
