"";"classe 1";"classe 2";"classe 3";"classe 4"
"emji_visage_riant_aux_larmes";1;0;1;1
"aller";1;1;0,272;0
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";0;1;1;1
"emji_coeur_rouge";0;1;1;1
"suisse";1;1;0,049;0
"voir";1;1;1;0
"emji_applaudissements";0;1;1;1
"parler";1;1;0;0
"emji_se_rouler_par_terre_de_rire";1;0;1;1
"gens";1;1;1;0
"monde";1;1;0,063;0
"femme";1;1;1;0
"emji_visage_qui_pleure";0;1;1;1
"enfant";1;1;0;0
"beau";0;1;1;1
"époque";0,117;1;1;0
"prendre";1;1;1;0
"pays";1;1;0;0
"vie";1;1;1;0
"penser";1;1;1;0
"comprendre";1;1;1;0
"homme";1;1;1;0
"temps";1;1;1;0
"aimer";1;0;1;1
"chose";1;1;1;0
"passer";1;1;0,402;0
"mettre";1;1;1;0
"petit";1;1;1;0
"année";1;1;1;0
"vrai";1;1;1;0
"emji_feu";0;1;1;1
"emji_mains_levées";0;1;1;1
"grand";1;1;1;0
"vraiment";1;1;1;0
"jour";1;1;1;0
"emji_visage_souriant_avec_une_goutte_de_sueur";1;0;1;1
"venir";1;1;0,808;0
"trouver";1;1;1;0
"emji_visage_souriant_avec_coeurs";0;1;1;1
"tellement";0;1;1;1
"donner";1;1;1;0
"vivre";1;1;1;0
"rester";1;1;1;0
"payer";1;1;1;0
"problème";1;1;1;0
"français";1;0,001;1;0
"connaître";1;1;1;0
"emji_mains_en_prière";0;1;1;1
"changer";1;1;1;0
"souvenir";0;1;1;1
"france";1;1;1;0
"fois";1;1;0,545;0
"commentaire";1;1;1;0
"seul";1;1;0,001;0
"arrêter";1;1;0;0
"demander";1;1;0;0
"droit";1;1;0;0,31
"question";1;1;1;0
"emji_visage_faisant_un_clin_d_oeil";1;0;1;0,05
"devenir";1;1;1;0
"travail";1;1;1;0
"emji_visage_avec_bouche_ouverte";0;0,742;1;1
"raison";1;1;1;0
"cas";1;1;0,552;0
"jeune";1;1;1;0
"sentir";1;1;1;0
"emji_visage_qui_pleure_à_chaudes_larmes";1;0;1;1
"police";1;1;0;0,034
"exister";1;1;1;0
"accord";1;1;0;0
"humain";1;1;0,019;0
"arriver";1;1;1;0
"utiliser";1;0,78;0,001;0
"laisser";1;1;0,385;0
"besoin";1;1;1;0
"état";1;1;0;0,691
"adorer";0;0,806;1;1
"animal";1;1;1;0
"regarder";1;1;1;0
"guerre";1;1;0;1
"ca";1;1;1;0
"coup";1;1;0,101;0
"magnifique";0;1;1;1
"argent";1;1;1;0
"travailler";1;1;1;0
"partir";1;1;0,233;0
"moment";1;1;0,228;0
"vidéo";1;1;1;0
"etc";1;1;0,631;0
"riche";1;1;1;0
"plutôt";1;1;1;0
"place";1;1;0,693;0
"premier";1;1;0,73;0
"mot";1;1;0,472;0
"rendre";1;1;0;0
"appeler";1;0;0,016;0,933
"meilleur";0;1;1;0
"jouer";0,067;1;1;0
"école";1;1;1;0
"niveau";1;1;1;0
"part";1;1;0,265;0
"genre";1;1;1;0
"politique";1;1;0;0
"palestinien";1;1;0;1
"emji_drapeau_suisse";0;1;1;1
"sûr";1;1;1;0
"israël";1;1;0;1
"importer";1;1;0,967;0
"dernier";1;1;0,096;0
"continuer";1;1;0;0
"emji_pouce_vers_le_haut";0;1;1;1
"famille";1;1;0,054;0
"lire";1;1;1;0
"apprendre";1;1;1;0
"emji_visage_en_pleine_réflexion";1;1;1;0
"exemple";1;1;1;0
"compte";1;1;1;0
"genève";1;1;1;0
"sujet";1;1;1;0
"manquer";1;1;1;0
"pauvre";1;1;1;0
"cause";1;1;0;0
"perdre";1;1;1;0
"partie";1;1;0,159;0
"histoire";1;1;0;0
"sortir";1;1;1;0
"fin";1;1;0,08;0
"société";1;1;1;0
"entendre";1;0,327;1;0
"idée";1;1;1;0
"cher";1;1;1;0
"oublier";1;1;0,01;0
"rts";1;1;0;0
"manger";1;0,166;1;0
"respect";0,041;1;1;0
"emji_visage_souriant_avec_yeux_rieurs";0;1;1;1
"paix";0;1;0;1
"permettre";1;1;1;0
"malheureusement";1;1;1;0
"écrire";1;1;1;0
"gros";1;1;1;0
"parent";1;1;1;0
"revenir";1;1;1;0
"finir";1;1;0,774;0
"super";0,037;1;1;0,132
"côté";1;1;1;0
"social";1;1;1;0
"emji_visage_roulant_des_yeux";1;0;1;1
"population";1;1;0;0
"peuple";1;1;0;1
"heure";1;1;1;0
"gauche";1;1;0,001;0
"espérer";1;1;1;0
"palestine";1;1;0;1
"mort";1;1;0;1
"pareil";1;0;1;0
"nom";1;1;0,509;0
"dieu";1;1;1;0
"commencer";1;1;0;0
"attendre";1;1;0,006;0
"tuer";1;1;0;1
"servir";1;1;0,032;0
