*rts_i;2095;3562;424;1921;490;3970;4241;1881;3563;3573;3735;1946;3792;4826
*i_0501;2;6;0;1;0;8;2;13;5;0;1;5;5;9
*postLikes_5000;11;43;2;13;3;11;14;19;22;44;10;6;9;10
*postComments_64;4;22;0;3;0;10;51;13;12;5;6;28;17;9
*postReposts_21;15;43;1;16;0;44;69;18;30;16;23;23;29;22
*postDate_18-11-2025;48;93;4;17;8;299;75;106;115;243;117;54;125;73
*commentDate_18-11-2025;33;81;28;12;11;248;64;63;83;187;113;39;97;55
*commentLikes_136;0;0;0;0;0;0;0;1;1;2;2;0;1;0
*lang_fr;2095;3562;424;1921;490;3970;4241;1881;3563;3573;3735;1946;3792;4826
-*goran___gnv;0;0;0;1;0;0;0;1;0;0;2;0;0;0
*commentDate_19-11-2025;42;92;13;10;3;91;111;55;85;132;410;63;112;24
*commentLikes_1;429;731;66;261;82;639;695;315;607;595;634;300;660;780
-*laviedesf77;2;5;0;2;0;2;0;9;3;0;2;5;8;16
*commentLikes_211;0;1;0;1;1;1;0;1;0;0;0;0;0;2
-*wabisabi_and_kimchi;1;0;0;0;0;4;6;3;2;0;3;1;1;2
*commentLikes_4;61;127;15;112;24;189;203;86;169;160;176;93;166;262
-*technicyan_;0;2;0;1;0;1;1;3;4;1;2;1;3;3
*commentLikes_0;874;1601;214;396;177;1191;1206;535;1221;1081;1121;557;1253;1250
-*mlhg_64;0;0;0;0;0;2;0;0;1;0;0;0;0;1
-*neko_sousou;0;0;0;0;0;0;0;0;0;0;0;0;0;0
*commentDate_20-11-2025;28;105;6;10;1;70;156;32;66;66;68;24;52;16
-*arthurito_lex;0;6;1;1;0;9;6;22;8;6;23;4;2;27
*commentLikes_3;119;170;20;138;26;264;324;119;254;218;229;128;233;353
-*emeraudeperle;1;2;0;5;1;2;0;4;5;3;0;2;3;6
-*richard_meulien;0;1;0;1;0;0;0;0;1;0;2;0;1;1
*commentLikes_2;174;304;22;181;53;378;462;179;343;324;315;239;399;469
-*naimeninou;0;0;0;0;0;1;0;0;0;0;0;0;0;0
*commentLikes_12;21;20;0;24;5;51;47;22;31;39;43;28;39;82
-*volik680;0;1;0;1;0;0;1;0;1;0;1;0;0;1
*commentLikes_9;18;31;5;43;6;72;69;33;44;73;50;37;59;103
-*ganesh_clement;30;22;1;21;0;10;35;6;23;8;11;4;12;25
*commentLikes_11;13;23;7;26;2;46;58;29;38;41;52;30;39;63
-*celhadon_images;0;1;0;0;0;1;0;0;1;0;0;0;0;1
-*greg__marc;0;0;0;0;0;0;0;0;1;0;0;0;0;0
-*zvonwo;1;0;0;0;0;0;1;2;1;0;0;2;1;0
*commentLikes_8;32;49;1;57;7;93;70;42;63;77;81;40;84;118
-*cedricdemontst;0;5;0;1;0;0;1;0;1;0;1;3;1;2
-*justrandev;0;0;0;0;0;0;0;2;0;0;1;0;1;2
-*mysmys_62;0;1;1;1;1;2;0;1;5;3;1;2;0;10
-*senad_x;1;0;0;0;0;0;0;0;0;0;0;1;0;0
-*pirouette_kakahuete;0;0;0;0;0;0;0;1;1;0;1;0;1;0
-*vive_le_valais;0;0;0;1;0;0;0;3;1;1;0;0;1;0
*commentDate_21-11-2025;81;65;39;18;2;132;104;25;82;53;73;45;91;20
-*eugenia_kummer_crescenzio;5;3;0;0;0;4;0;2;3;3;5;0;4;3
*commentLikes_59;1;2;0;1;1;1;2;0;3;2;6;0;5;3
-*romanwuthrich;0;2;0;0;0;0;0;0;0;1;1;0;0;0
-*ntrpddm;0;0;0;0;0;2;1;0;0;0;2;0;0;3
-*rkn79_;0;0;0;0;0;2;0;1;0;1;1;0;1;0
-*mad_jax92;0;1;0;0;0;0;1;0;0;0;0;0;0;2
-*___star___child___;0;7;0;1;0;1;2;0;4;1;0;1;3;3
*commentLikes_5;51;78;16;64;16;132;147;65;118;149;147;81;122;186
-*chris_daq;0;2;0;4;0;3;1;4;5;5;5;2;8;52
-*barbara_ensuisse;7;25;0;4;1;15;25;3;8;13;22;2;8;1
-*patrickpellissier;0;0;0;0;0;0;0;1;0;0;0;0;0;1
*i_0502;19;2;0;0;0;1;2;0;1;0;1;0;1;0
*postLikes_10300;30;11;1;3;1;15;9;16;30;40;18;10;20;52
*postComments_79;21;4;0;0;0;2;3;10;11;14;9;4;7;1
*postReposts_109;19;2;0;0;0;1;2;0;1;0;1;0;1;0
*commentLikes_20;6;10;1;8;1;14;17;11;18;9;16;8;17;32
-*johan_djourou;2;0;0;0;0;0;0;0;0;0;0;0;0;0
-*rtssport;4;1;0;0;2;0;0;0;0;0;0;0;0;0
*commentLikes_107;1;1;0;0;1;1;1;0;1;0;1;0;0;1
-*cajoueoubien_ch;4;0;0;0;0;0;0;0;0;0;0;0;0;0
-*football_videogame;0;1;0;0;0;0;0;0;0;0;0;0;0;0
*commentLikes_6;39;62;6;68;16;112;128;50;73;108;105;41;86;145
-*yacinenemra;0;0;0;0;0;1;0;0;0;0;0;0;0;0
-*tithai_;2;0;0;0;0;0;1;0;0;0;0;0;0;0
-*editsbybye;1;0;0;0;0;0;0;0;0;0;0;0;0;0
-*maxime_savary;1;0;0;0;0;0;0;2;0;0;1;0;1;0
-*lpsedixit_x;2;0;0;0;0;0;0;0;0;0;0;0;0;0
-*pgtips1999;1;0;0;1;0;0;0;0;0;0;0;0;0;0
-*sandra_gsr_3_3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
-*lox163;0;2;0;0;0;1;0;0;1;1;2;0;0;0
-*vins_fleury;0;1;0;0;0;0;0;0;0;0;0;0;0;0
-*nicominimoi;1;0;0;0;0;0;0;0;0;0;0;0;0;0
-*ta_ta_ki;3;0;0;0;0;0;0;0;0;0;0;0;0;0
*commentLikes_19;6;8;2;13;7;24;38;10;19;18;35;13;21;31
-*samuel_mkl;0;0;0;0;1;0;1;0;0;0;0;0;0;0
-*cedric_dstrml;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-*vladihcc;0;0;0;0;0;1;1;0;0;0;0;0;1;0
-*manuel25310;0;0;0;0;0;0;0;0;1;0;0;1;1;1
-*_khelifi_7;1;0;0;0;0;0;0;0;0;0;0;0;0;0
-*rhaymartiniano;4;2;0;1;0;0;1;0;1;0;1;0;1;7
-*kathleen_gurtner_9;1;0;0;0;0;0;0;0;0;0;0;0;0;0
-*flavia_dantas_de_alcantara_;1;0;0;0;0;0;0;0;0;0;0;0;0;0
-*elvin_m_monserrate;0;0;0;0;0;0;0;0;0;0;0;0;1;0
*i_0503;1;28;0;4;0;7;24;10;29;32;361;16;37;2
*postLikes_5400;4;45;0;8;1;11;32;32;51;45;391;23;58;6
